step,fell_so_far,height,tilt_rad,action_norm,action_rate_raw,dev_legs_hip,dev_waist,dev_arms,rew_track_lin_vel_xy,rew_track_ang_vel_z,rew_alive,rew_base_linear_velocity,rew_base_angular_velocity,rew_joint_vel,rew_joint_acc,rew_action_rate,rew_dof_pos_limits,rew_energy,rew_joint_deviation_arms,rew_joint_deviation_waists,rew_joint_deviation_legs,rew_flat_orientation_l2,rew_base_height,rew_feet_slide,rew_undesired_contacts
0,0,0.7665246725082397,0.06076161935925484,1.8766521215438843,0.0,0.09088912606239319,0.041820354759693146,0.3726746439933777,1.331376552581787,0.3375113606452942,0.5,-0.03610007092356682,-0.08334741741418839,-0.10345803946256638,-0.01061809342354536,-0.17609117925167084,-0.0,-0.0032007351983338594,-0.05590119957923889,-0.041820354759693146,-0.09088912606239319,-0.02949972078204155,-0.002179004019126296,-0.002484667580574751,-0.0
1,0,0.7679331302642822,0.06087243929505348,2.8993935585021973,2.5077285766601562,0.06282888352870941,0.06056433543562889,0.2919207215309143,1.2593616247177124,0.7002341747283936,0.5,-0.006681838072836399,-0.00862177461385727,-0.02748151868581772,-0.007277136202901602,-0.12538643181324005,-0.0,-0.0014417623169720173,-0.04378810524940491,-0.06056433171033859,-0.06282888352870941,-0.029606672003865242,-0.0017473037587478757,-0.0015887812478467822,-0.0
2,0,0.768345057964325,0.06033411994576454,2.904949188232422,0.12828433513641357,0.050017647445201874,0.07497105002403259,0.33740076422691345,1.19553804397583,0.7499480843544006,0.5,-0.0020490908063948154,-0.0010650277836248279,-0.013043421320617199,-0.002081128768622875,-0.006414216477423906,-0.0,-0.0009807856986299157,-0.05061011761426926,-0.07497105002403259,-0.050017643719911575,-0.029086720198392868,-0.0016300440765917301,-0.0025854238774627447,-0.0
3,0,0.7682373523712158,0.06058664992451668,2.6877620220184326,0.10083186626434326,0.042503878474235535,0.07472586631774902,0.37679728865623474,1.1259377002716064,0.7270855903625488,0.5,-0.00011083704885095358,-0.00022753424127586186,-0.009366471320390701,-0.0009121460607275367,-0.005041593220084906,-0.0,-0.0009119224268943071,-0.05651959031820297,-0.07472586631774902,-0.042503878474235535,-0.029329625889658928,-0.0016603104304522276,-0.0029986014124006033,-0.0
4,0,0.7676810622215271,0.05622658506035805,2.6449785232543945,0.24587441980838776,0.04386313632130623,0.07451745867729187,0.4066823422908783,1.0233004093170166,0.7486565709114075,0.5,-0.00029796455055475235,-0.00936234463006258,-0.013173012062907219,-0.0006490753148682415,-0.012293721549212933,-0.0,-0.0008805842371657491,-0.06100235506892204,-0.07451745867729187,-0.04386313632130623,-0.025264479219913483,-0.0018210661364719272,-0.0033536700066179037,-0.0
5,0,0.7666480541229248,0.04642685130238533,2.9193408489227295,0.5485708713531494,0.04570141062140465,0.08081742376089096,0.4521523714065552,0.9364414215087891,0.5613597631454468,0.5,-0.003326967591419816,-0.031844835728406906,-0.02210226096212864,-0.000772687781136483,-0.02742854133248329,-0.0,-0.0008375408360734582,-0.06782285869121552,-0.08081741631031036,-0.04570141062140465,-0.017231039702892303,-0.0021392840426415205,-0.0027932855300605297,-0.0
6,0,0.7650302648544312,0.0370616689324379,2.650064706802368,0.36952120065689087,0.05514240264892578,0.08670468628406525,0.508528470993042,0.9184758067131042,0.3169589042663574,0.5,-0.0121966153383255,-0.04419908672571182,-0.02945001982152462,-0.0009847285691648722,-0.018476059660315514,-0.0,-0.0005527774337679148,-0.07627926766872406,-0.08670467883348465,-0.05514239892363548,-0.010983381420373917,-0.0026891054585576057,-0.0023702229373157024,-0.0
7,0,0.7647815942764282,0.03706810623407364,2.3454694747924805,1.1055058240890503,0.03434859588742256,0.06002122908830643,0.5550394654273987,0.8588200211524963,0.5112101435661316,0.5,-0.0003583689976949245,-0.013259757310152054,-0.019049610942602158,-0.012412658892571926,-0.055275291204452515,-0.0,-0.0011169352801516652,-0.08325592428445816,-0.06002122536301613,-0.03434859216213226,-0.010987421497702599,-0.002779188100248575,-0.01620534621179104,-0.0
8,0,0.7649719715118408,0.039010003209114075,2.8722126483917236,2.0636017322540283,0.039290379732847214,0.044492609798908234,0.6045769453048706,1.089084506034851,0.7462983727455139,0.5,-0.005196376238018274,-0.005464440677314997,-0.012551233172416687,-0.028685057535767555,-0.10318008810281754,-0.0,-0.0007054500165395439,-0.09068653732538223,-0.044492609798908234,-0.039290376007556915,-0.012167884036898613,-0.0027100893203169107,-0.028897754848003387,-0.0
9,0,0.7658529281616211,0.03799106553196907,3.4290573596954346,0.8866248726844788,0.03993874788284302,0.04190917685627937,0.6260641813278198,1.2841203212738037,0.715616762638092,0.5,-0.013492259196937084,-0.01139051467180252,-0.020227504894137383,-0.0027481610886752605,-0.04433124139904976,-0.0,-0.0014535702066496015,-0.09390962868928909,-0.04190917685627937,-0.03993874788284302,-0.01154134701937437,-0.0024016660172492266,-0.00281448638997972,-0.0
