step,fell_so_far,height,tilt_rad,action_norm,action_rate_raw,dev_legs_hip,dev_waist,dev_arms,rew_track_lin_vel_xy,rew_track_ang_vel_z,rew_alive,rew_base_linear_velocity,rew_base_angular_velocity,rew_joint_vel,rew_joint_acc,rew_action_rate,rew_dof_pos_limits,rew_energy,rew_joint_deviation_arms,rew_joint_deviation_waists,rew_joint_deviation_legs,rew_flat_orientation_l2,rew_base_height,rew_feet_slide,rew_undesired_contacts
0,0,0.7798255085945129,0.015548675321042538,1.557308554649353,0.0,0.1146988794207573,0.047179482877254486,0.4141141176223755,0.946164608001709,0.27950519323349,0.5,-0.1273137927055359,-0.23578761518001556,-0.13125167787075043,-0.00684516504406929,-0.12126047909259796,-0.0,-0.001133592682890594,-0.062117114663124084,-0.047179482877254486,-0.1146988719701767,-0.0019340013386681676,-3.652472173598653e-07,-0.03028588555753231,-0.0
1,0,0.7765957713127136,0.020344750955700874,1.5221266746520996,0.9978436231613159,0.10529717057943344,0.019490092992782593,0.3518766462802887,0.8321641087532043,0.15244318544864655,0.5,-0.011836828663945198,-0.013306793756783009,-0.04319459944963455,-0.007027670741081238,-0.049892183393239975,-0.0,-0.0012363712303340435,-0.052781496196985245,-0.019490092992782593,-0.10529717057943344,-0.0033105644397437572,-0.00013906293315812945,-0.009558098390698433,-0.0
2,0,0.7750920653343201,0.018851350992918015,2.3132827281951904,1.7280594110488892,0.097142294049263,0.02986546978354454,0.41443002223968506,0.9446291327476501,0.6724390387535095,0.5,-0.001764659653417766,-0.000472631654702127,-0.0443321168422699,-0.004698694217950106,-0.08640297502279282,-0.0,-0.0012282130774110556,-0.06216450035572052,-0.02986546978354454,-0.097142294049263,-0.002842347603291273,-0.0002890505129471421,-0.012068475596606731,-0.0
3,0,0.7744581699371338,0.01977420598268509,2.843623161315918,0.6406847238540649,0.07882937043905258,0.05458740144968033,0.5064504742622375,1.0519293546676636,0.7263849973678589,0.5,-0.00030560657614842057,-0.004229603800922632,-0.034001633524894714,-0.0037693101912736893,-0.03203423693776131,-0.0,-0.0013050184352323413,-0.07596757262945175,-0.05458740144968033,-0.07882936298847198,-0.0031280452385544777,-0.00036853874917142093,-0.013502441346645355,-0.0
4,0,0.7746567130088806,0.022089442238211632,3.2708873748779297,0.3670259714126587,0.060985010117292404,0.07009834051132202,0.5821192264556885,1.1750140190124512,0.6951026320457458,0.5,-0.004628340248018503,-0.009042467921972275,-0.0352138914167881,-0.00340690347366035,-0.018351299688220024,-0.0,-0.001996793318539858,-0.08731788396835327,-0.07009834051132202,-0.060985010117292404,-0.003902639262378216,-0.0003426049370318651,-0.020199138671159744,-0.0
5,0,0.7754082679748535,0.02425544522702694,3.6786978244781494,0.35262247920036316,0.04204631969332695,0.07652099430561066,0.6320594549179077,1.245462417602539,0.40077710151672363,0.5,-0.007042005658149719,-0.022068263962864876,-0.046950750052928925,-0.0017833253368735313,-0.017631124705076218,-0.0,-0.0026972137857228518,-0.0948089212179184,-0.07652098685503006,-0.04204631969332695,-0.004705218598246574,-0.0002530048950575292,-0.026758719235658646,-0.0
6,0,0.7765706777572632,0.02691170945763588,3.619032144546509,0.2396090030670166,0.06942309439182281,0.07611463963985443,0.6631633043289185,1.2667568922042847,0.3868781626224518,0.5,-0.012159830890595913,-0.00855536013841629,-0.034430861473083496,-0.002803031587973237,-0.011980450712144375,-0.0,-0.002396605210378766,-0.09947449713945389,-0.07611463963985443,-0.06942309439182281,-0.005792080424726009,-0.0001411206612829119,-0.037137921899557114,-0.0
7,0,0.7776583433151245,0.029167409986257553,2.916849374771118,1.000765085220337,0.10965738445520401,0.06933130323886871,0.6616799831390381,1.1582804918289185,0.30802658200263977,0.5,-0.008693408221006393,-0.002659111749380827,-0.033454522490501404,-0.002782652620226145,-0.050038255751132965,-0.0,-0.0010162896942347288,-0.09925200045108795,-0.06933130323886871,-0.10965737700462341,-0.0068042101338505745,-6.579866749234498e-05,-0.017635785043239594,-0.0
8,0,0.7778519988059998,0.024950815364718437,2.613976240158081,0.729205310344696,0.11779342591762543,0.0665946900844574,0.6341199278831482,0.9962124824523926,0.6669301986694336,0.5,-2.3152453650254756e-05,-0.0245345551520586,-0.0401018001139164,-0.00277618202380836,-0.0364602655172348,-0.0,-0.0012461468577384949,-0.09511799365282059,-0.0665946900844574,-0.11779342591762543,-0.0049795471131801605,-5.536543176276609e-05,-0.012689754366874695,-0.0
9,0,0.776596188545227,0.01908702962100506,2.431450605392456,1.467790126800537,0.1216268390417099,0.06749705970287323,0.6592416763305664,0.8660627603530884,0.7172743082046509,0.5,-0.014514745213091373,-0.11873193085193634,-0.0813126340508461,-0.00418136129155755,-0.07338950783014297,-0.0,-0.0030078559648245573,-0.09888625890016556,-0.06749705970287323,-0.1216268390417099,-0.002914007054641843,-0.00013902885257266462,-0.01005472894757986,-0.0
10,0,0.7771546840667725,0.0258242879062891,2.788135051727295,1.29189133644104,0.11211009323596954,0.023013431578874588,0.7458199262619019,1.1100754737854004,0.21982979774475098,0.5,-0.00253410916775465,-0.022116824984550476,-0.055586330592632294,-0.007834642194211483,-0.064594566822052,-0.0,-0.002822329057380557,-0.11187299340963364,-0.02301342971622944,-0.11211008578538895,-0.005334090907126665,-9.71479166764766e-05,-0.07471975684165955,-0.0
11,0,0.7773831486701965,0.028952013701200485,3.5201776027679443,1.4316470623016357,0.09645452350378036,0.018200689926743507,0.7918859720230103,1.1708022356033325,0.6449819803237915,0.5,-0.0028717494569718838,-0.019619107246398926,-0.07261312007904053,-0.005853869020938873,-0.0715823546051979,-0.0,-0.004002469591796398,-0.1187828928232193,-0.018200689926743507,-0.09645452350378036,-0.006704240571707487,-8.217313734348863e-05,-0.00987758208066225,-0.0
12,0,0.7776416540145874,0.03200521320104599,3.1486504077911377,0.37120553851127625,0.07311014831066132,0.02637486904859543,0.7674329280853271,1.192171573638916,0.37389665842056274,0.5,-0.0007352553075179458,-0.03049708902835846,-0.047594793140888214,-0.005248354282230139,-0.018560277298092842,-0.0,-0.0029270355589687824,-0.11511494219303131,-0.02637486904859543,-0.07311014831066132,-0.008191774599254131,-6.673992902506143e-05,-0.007519820239394903,-0.0
13,0,0.7775462865829468,0.03889674320816994,2.5521342754364014,0.7291067838668823,0.04822279512882233,0.031561098992824554,0.6915062665939331,1.2656303644180298,0.5934300422668457,0.5,-1.4658247891929932e-05,-0.005699122790247202,-0.031911980360746384,-0.006204317323863506,-0.03645533695816994,-0.0,-0.0016168267466127872,-0.10372594743967056,-0.031561098992824554,-0.04822279512882233,-0.012097429484128952,-7.224683213280514e-05,-0.011243153363466263,-0.0
14,0,0.7767140865325928,0.04173751175403595,2.0045502185821533,0.682732343673706,0.02707335539162159,0.02354971319437027,0.5734061002731323,1.3213704824447632,0.6686760187149048,0.5,-0.00872758124023676,-0.011856857687234879,-0.046812236309051514,-0.0030567366629838943,-0.03413661941885948,-0.0,-0.0009291134192608297,-0.08601091802120209,-0.02354971133172512,-0.02707335539162159,-0.013927934691309929,-0.00012956446153111756,-0.006672519724816084,-0.0
