step,fell_so_far,height,tilt_rad,action_norm,action_rate_raw,dev_legs_hip,dev_waist,dev_arms,rew_track_lin_vel_xy,rew_track_ang_vel_z,rew_alive,rew_base_linear_velocity,rew_base_angular_velocity,rew_joint_vel,rew_joint_acc,rew_action_rate,rew_dof_pos_limits,rew_energy,rew_joint_deviation_arms,rew_joint_deviation_waists,rew_joint_deviation_legs,rew_flat_orientation_l2,rew_base_height,rew_feet_slide,rew_undesired_contacts
0,0,0.7635741829872131,0.06800352782011032,2.309906482696533,0.0,0.157540425658226,0.04442386329174042,0.5642088651657104,0.010119685903191566,0.7487859725952148,0.5,-0.04595061019062996,-0.038575027137994766,-0.2622014582157135,-0.010516674257814884,-0.26678338646888733,-0.0,-0.004093896597623825,-0.08463133126497269,-0.04442386329174042,-0.157540425658226,-0.03693889081478119,-0.003237678436562419,-0.013145571574568748,-0.0
1,0,0.7647942900657654,0.08308195322751999,3.8355441093444824,3.348111152648926,0.17835667729377747,0.04811535030603409,0.49561166763305664,0.03085944429039955,0.32437431812286377,0.5,-0.034022361040115356,-0.1872180551290512,-0.06151599809527397,-0.011247853748500347,-0.16740556061267853,-0.0,-0.0018381591653451324,-0.07434174418449402,-0.04811535030603409,-0.17835667729377747,-0.05509354919195175,-0.002774552907794714,-0.5370693802833557,-0.0
2,0,0.7648656964302063,0.1067940965294838,5.11570405960083,2.0298633575439453,0.1885923147201538,0.054549604654312134,0.5160769820213318,0.0751771628856659,0.20008642971515656,0.5,-0.019220402464270592,-0.24389056861400604,-0.03561431169509888,-0.005686591379344463,-0.10149317234754562,-0.0,-0.0018397420644760132,-0.07741154730319977,-0.054549604654312134,-0.1885923147201538,-0.09089376032352448,-0.0027485552709549665,-0.03214581310749054,-0.0
3,0,0.7637312412261963,0.13626979291439056,5.868727207183838,1.0702073574066162,0.16416490077972412,0.053751420229673386,0.6246237754821777,0.13985593616962433,0.47772908210754395,0.5,-0.008085336536169052,-0.279362291097641,-0.07035061717033386,-0.008088849484920502,-0.05351036787033081,-0.0,-0.0027306529227644205,-0.0936935693025589,-0.05375141650438309,-0.16416490077972412,-0.1476386934518814,-0.0031760588753968477,-0.058027345687150955,-0.0
4,0,0.7616603970527649,0.17182739078998566,6.057287693023682,0.5019466876983643,0.1869334727525711,0.052258335053920746,0.8099890947341919,0.22940321266651154,0.7475798726081848,0.5,-0.004605155438184738,-0.3883953094482422,-0.07326297461986542,-0.02180401049554348,-0.025097332894802094,-0.0,-0.003399926470592618,-0.12149836122989655,-0.05225833132863045,-0.1869334727525711,-0.23388133943080902,-0.004036080092191696,-0.03623209521174431,-0.0
5,0,0.7589145302772522,0.21619637310504913,5.828954696655273,0.7454200983047485,0.19215205311775208,0.05366959795355797,1.0064486265182495,0.3489711880683899,0.45402565598487854,0.5,-0.0038153836503624916,-0.6013389825820923,-0.07010076940059662,-0.011038189753890038,-0.03727100417017937,-0.0,-0.003786711720749736,-0.1509672999382019,-0.05366959795355797,-0.19215203821659088,-0.3681373596191406,-0.005335149820894003,-0.025358915328979492,-0.0
6,0,0.7556548714637756,0.27002379298210144,5.681056022644043,0.7419612407684326,0.22234123945236206,0.07372988015413284,1.2127944231033325,0.46837133169174194,0.12514331936836243,0.5,-0.005355238914489746,-0.8022515773773193,-0.08478427678346634,-0.006500395014882088,-0.03709806129336357,-0.0,-0.004325313959270716,-0.1819191724061966,-0.07372988015413284,-0.22234122455120087,-0.5692627429962158,-0.007112206891179085,-0.021590061485767365,-0.0
7,0,0.75171959400177,0.33205941319465637,5.904106140136719,0.4031946063041687,0.2556408941745758,0.09552127122879028,1.413102388381958,0.6309903860092163,0.10648098587989807,0.5,-0.004136459436267614,-1.0242315530776978,-0.104864701628685,-0.0033174215350300074,-0.020159730687737465,-0.0,-0.004616204183548689,-0.21196536719799042,-0.09552127122879028,-0.2556408941745758,-0.8501594662666321,-0.0095973564311862,-0.011731963604688644,-0.0
8,0,0.747045636177063,0.40134409070014954,6.366250038146973,0.49093109369277954,0.2920960485935211,0.11869633942842484,1.604973316192627,0.8414936065673828,0.09678328782320023,0.5,-0.0025292604696005583,-1.2453687191009521,-0.1146618127822876,-0.0037081455811858177,-0.024546554312109947,-0.0,-0.0048421332612633705,-0.24074600636959076,-0.11869633942842484,-0.29209601879119873,-1.220896601676941,-0.013031858950853348,-0.008524701930582523,-0.0
9,0,0.7416281700134277,0.4815042018890381,6.964691638946533,0.7440562844276428,0.3169930577278137,0.14925596117973328,1.8350529670715332,1.09134042263031,0.01794358901679516,0.5,-0.0016843305202201009,-1.760980486869812,-0.13245557248592377,-0.0063180201686918736,-0.03720281645655632,-0.0,-0.006195054389536381,-0.2752579152584076,-0.14925596117973328,-0.3169930577278137,-1.7157880067825317,-0.017668742686510086,-0.04453887790441513,-0.0
