condition,episode,fell,success,peak_jerk,final_height,mean_v_stop
always_l2,0,1,0,2.986658811569214,0.800000011920929,0.4007411599159241
always_l2,1,0,1,4.771292686462402,0.800000011920929,0.4007411599159241
always_l2,2,1,0,3.2144954204559326,0.800000011920929,0.4596272110939026
always_l2,3,0,1,3.0510332584381104,0.800000011920929,0.4596272110939026
always_l2,4,1,0,3.31903076171875,0.800000011920929,0.5717792510986328
always_l2,5,1,0,4.983654022216797,0.800000011920929,0.6464524269104004
always_l2,6,0,1,2.622480630874634,0.800000011920929,0.6464524269104004
always_l2,7,1,0,6.386721611022949,0.800000011920929,0.6848231554031372
always_l2,8,1,0,4.055070877075195,0.800000011920929,0.6848231554031372
always_l2,9,1,0,11.853914260864258,0.800000011920929,0.6848231554031372
always_l2,10,1,0,2.893803596496582,0.800000011920929,0.6848231554031372
always_l2,11,1,0,6.90487813949585,0.800000011920929,0.6913387179374695
always_l2,12,1,0,4.167181015014648,0.800000011920929,0.6960361003875732
always_l2,13,1,0,7.049647808074951,0.800000011920929,0.7532622814178467
always_l2,14,1,0,7.029404163360596,0.800000011920929,0.7532622814178467
always_l2,15,1,0,7.874270439147949,0.800000011920929,0.7532622814178467
always_l2,16,1,0,3.403491735458374,0.800000011920929,0.7341285943984985
always_l2,17,1,0,4.515035152435303,0.800000011920929,0.68702232837677
always_l2,18,0,1,4.9674859046936035,0.800000011920929,0.6675044298171997
always_l2,19,1,0,3.2554771900177,0.800000011920929,0.6675044298171997
always_l2,20,0,1,2.637138605117798,0.800000011920929,0.685321569442749
always_l2,21,1,0,9.005207061767578,0.800000011920929,0.7066948413848877
always_l2,22,1,0,6.4383721351623535,0.800000011920929,0.7066948413848877
always_l2,23,1,0,4.049255847930908,0.800000011920929,0.7066948413848877
always_l2,24,1,0,4.928923606872559,0.800000011920929,0.7266982793807983
always_l2,25,1,0,6.580406665802002,0.800000011920929,0.7266982793807983
always_l2,26,1,0,2.956432819366455,0.800000011920929,0.709203839302063
always_l2,27,1,0,8.93178939819336,0.800000011920929,0.7196624279022217
always_l2,28,1,0,4.996664047241211,0.800000011920929,0.7349535822868347
always_l2,29,0,1,3.3930060863494873,0.800000011920929,0.7175193428993225
always_l2,30,1,0,1.392349123954773,0.800000011920929,0.7149819731712341
always_l2,31,1,0,5.928471088409424,0.800000011920929,0.7439265251159668
always_l2,32,1,0,4.715367794036865,0.800000011920929,0.7866441011428833
always_l2,33,1,0,5.653365612030029,0.800000011920929,0.7928857803344727
always_l2,34,1,0,3.4166362285614014,0.800000011920929,0.8112636804580688
always_l2,35,0,1,1.244276523590088,0.7829936742782593,0.7374238967895508
always_l2,36,0,1,4.282557487487793,0.7323215007781982,0.7374238967895508
always_l2,37,0,1,1.3725844621658325,0.7583573460578918,0.7374238967895508
always_l2,38,0,1,1.7569446563720703,0.7738128900527954,0.7374238967895508
always_l2,39,0,1,3.1488840579986572,0.7889235019683838,0.7374238967895508
always_l2,40,0,1,3.63682222366333,0.7537305951118469,0.7374238967895508
always_l2,41,0,1,2.1866142749786377,0.7571443319320679,0.7374238967895508
always_l2,42,0,1,2.6128430366516113,0.7812848091125488,0.7374238967895508
always_l2,43,0,1,2.180931329727173,0.7606083750724792,0.7374238967895508
always_l2,44,0,1,1.393274188041687,0.7595962285995483,0.7374238967895508
always_l2,45,0,1,1.760903000831604,0.7880213856697083,0.7374238967895508
always_l2,46,0,1,1.588625192642212,0.7784770727157593,0.7374238967895508
always_l2,47,0,1,2.3401832580566406,0.7840037941932678,0.7374238967895508
always_l2,48,0,1,2.072653293609619,0.7671164870262146,0.7374238967895508
always_l2,49,0,1,1.2750049829483032,0.7816219329833984,0.7374238967895508
always_l2,50,0,1,1.0519698858261108,0.7787725925445557,0.7374238967895508
always_l2,51,0,1,0.9344808459281921,0.7833269238471985,0.7374238967895508
always_l2,52,0,1,1.364676833152771,0.7828014492988586,0.7374238967895508
always_l2,53,0,1,2.1553869247436523,0.7736213207244873,0.7374238967895508
always_l2,54,0,1,2.3603506088256836,0.7774204611778259,0.7374238967895508
always_l2,55,0,1,1.028226613998413,0.7853500843048096,0.7374238967895508
always_l2,56,0,1,1.0331441164016724,0.7527269721031189,0.7374238967895508
always_l2,57,0,1,2.8493120670318604,0.7851191163063049,0.7374238967895508
always_l2,58,0,1,1.3750696182250977,0.7838185429573059,0.7374238967895508
always_l2,59,0,1,3.4708054065704346,0.7811795473098755,0.7374238967895508
always_l2,60,0,1,2.0212202072143555,0.7699694633483887,0.7374238967895508
always_l2,61,0,1,2.018625497817993,0.7827320098876953,0.7374238967895508
always_l2,62,0,1,3.697185754776001,0.7363650798797607,0.7374238967895508
always_l2,63,0,1,0.6123872995376587,0.7376258373260498,0.7374238967895508
always_l2,64,0,1,0.46317288279533386,0.7371280789375305,0.7336595058441162
always_l2,65,0,1,0.5057806968688965,0.7828842401504517,0.7336595058441162
always_l2,66,0,1,0.43750104308128357,0.7830005884170532,0.7336137294769287
always_l2,67,0,1,0.5665869116783142,0.7807554602622986,0.7336137294769287
always_l2,68,0,1,0.4649343490600586,0.7804843187332153,0.7352991104125977
always_l2,69,0,1,0.42540258169174194,0.7844681739807129,0.7417562007904053
always_l2,70,0,1,0.3431728482246399,0.7808828353881836,0.7417562007904053
always_l2,71,0,1,0.5640685558319092,0.7264993786811829,0.7357336282730103
always_l2,72,0,1,0.480228066444397,0.7431336045265198,0.7357336282730103
always_l2,73,0,1,0.3731081485748291,0.7797551155090332,0.7357336282730103
always_l2,74,0,1,0.6235576868057251,0.774817943572998,0.7357336282730103
always_l2,75,0,1,0.18689276278018951,0.7892773747444153,0.7319831848144531
always_l2,76,0,1,0.5797252058982849,0.7734571695327759,0.7365196347236633
always_l2,77,0,1,0.5055960416793823,0.7785925269126892,0.7413070201873779
always_l2,78,0,1,0.5606993436813354,0.7701691389083862,0.7413070201873779
always_l2,79,0,1,0.49576064944267273,0.7843188047409058,0.7413070201873779
always_l2,80,0,1,0.2208012044429779,0.7889958024024963,0.7391017079353333
always_l2,81,0,1,0.5438930988311768,0.7898305654525757,0.7383026480674744
always_l2,82,0,1,0.5181570053100586,0.7871876358985901,0.7380639314651489
always_l2,83,0,1,0.4893205165863037,0.7665210366249084,0.7380639314651489
always_l2,84,0,1,0.5634286999702454,0.7906550168991089,0.7433845400810242
always_l2,85,0,1,0.305328369140625,0.789789080619812,0.7412911057472229
always_l2,86,0,1,0.5272862911224365,0.7390695810317993,0.7412911057472229
always_l2,87,0,1,0.6088373064994812,0.7387856245040894,0.7412911057472229
always_l2,88,0,1,0.49485138058662415,0.7781624794006348,0.732390284538269
always_l2,89,0,1,0.5628484487533569,0.776703953742981,0.732390284538269
always_l2,90,0,1,0.477956622838974,0.7594879865646362,0.7289161682128906
always_l2,91,0,1,0.37970131635665894,0.7759727835655212,0.7294728755950928
always_l2,92,0,1,0.5625832676887512,0.7202627658843994,0.7386676073074341
always_l2,93,0,1,0.4546562135219574,0.7884758114814758,0.7389070987701416
always_l2,94,0,1,0.35224398970603943,0.7793152928352356,0.7412909269332886
always_l2,95,0,1,0.616379976272583,0.7343168258666992,0.746806263923645
always_l2,96,0,1,0.6239973306655884,0.7314102053642273,0.7471708655357361
always_l2,97,0,1,0.49602749943733215,0.7721414566040039,0.7517492771148682
always_l2,98,0,1,0.6887673735618591,0.7847939729690552,0.7653294801712036
always_l2,99,0,1,0.3967294991016388,0.7736307382583618,0.7157185077667236
always_l2,100,0,1,0.5418248176574707,0.785024881362915,0.7157185077667236
always_l2,101,0,1,0.4251783490180969,0.7633499503135681,0.7157185077667236
always_l2,102,0,1,0.5890085101127625,0.7842625379562378,0.7157185077667236
always_l2,103,0,1,0.45341095328330994,0.7806373834609985,0.7157185077667236
always_l2,104,0,1,0.4407082796096802,0.7632979154586792,0.7157185077667236
always_l2,105,0,1,0.4002247452735901,0.7850345373153687,0.7157185077667236
always_l2,106,0,1,0.513268768787384,0.7655392289161682,0.7157185077667236
always_l2,107,0,1,0.5750462412834167,0.7267241477966309,0.7157185077667236
always_l2,108,0,1,0.5368893146514893,0.7782977223396301,0.7157185077667236
always_l2,109,0,1,0.49678510427474976,0.742541491985321,0.7157185077667236
always_l2,110,0,1,0.4409044086933136,0.786169171333313,0.7157185077667236
always_l2,111,0,1,0.710394024848938,0.7814466953277588,0.7157185077667236
always_l2,112,0,1,0.5178219079971313,0.7863398790359497,0.7157185077667236
always_l2,113,0,1,0.4101267457008362,0.7726550102233887,0.7157185077667236
always_l2,114,0,1,0.5389958620071411,0.7293411493301392,0.7157185077667236
always_l2,115,0,1,0.5329536199569702,0.7652723789215088,0.7157185077667236
always_l2,116,0,1,0.3952197730541229,0.7693302631378174,0.7157185077667236
always_l2,117,0,1,0.4538814425468445,0.7675685882568359,0.7157185077667236
always_l2,118,0,1,0.4902363121509552,0.7553877830505371,0.7157185077667236
always_l2,119,0,1,0.5673000812530518,0.7398783564567566,0.7157185077667236
always_l2,120,0,1,0.39881765842437744,0.7686570286750793,0.7157185077667236
always_l2,121,0,1,0.55543053150177,0.7567166090011597,0.7157185077667236
always_l2,122,0,1,0.5029411911964417,0.7868709564208984,0.7157185077667236
always_l2,123,0,1,0.5154622197151184,0.7499393224716187,0.7157185077667236
always_l2,124,0,1,0.43357694149017334,0.7622280120849609,0.7157185077667236
always_l2,125,0,1,0.4235210418701172,0.7846966981887817,0.7157185077667236
always_l2,126,0,1,0.45387333631515503,0.7754467725753784,0.7157185077667236
always_l2,127,0,1,0.46232450008392334,0.7475882172584534,0.7157185077667236
always_l2,128,0,1,0.6632970571517944,0.7823264002799988,0.7118313312530518
always_l2,129,0,1,0.5680608749389648,0.776740312576294,0.7118313312530518
always_l2,130,0,1,0.4046420454978943,0.7700239419937134,0.7113336324691772
always_l2,131,0,1,0.42586296796798706,0.7510248422622681,0.7113336324691772
always_l2,132,0,1,0.506594181060791,0.7822282910346985,0.7357639670372009
always_l2,133,0,1,0.36695244908332825,0.7889611721038818,0.7378107905387878
always_l2,134,0,1,0.28649061918258667,0.7873415350914001,0.7378107905387878
always_l2,135,0,1,0.6008976101875305,0.785200834274292,0.744989812374115
always_l2,136,0,1,0.5416292548179626,0.7884495258331299,0.744989812374115
always_l2,137,0,1,0.49494701623916626,0.7461115717887878,0.744989812374115
always_l2,138,0,1,0.4998199939727783,0.7642024159431458,0.744989812374115
always_l2,139,0,1,0.32824212312698364,0.7840589284896851,0.7436654567718506
always_l2,140,0,1,0.4784891605377197,0.7435869574546814,0.7464029788970947
always_l2,141,0,1,0.33697956800460815,0.7720736265182495,0.7427076101303101
