condition,n,fall_rate,success_rate,mean_peak_jerk,std_peak_jerk
aap,100,0.0000,1.0000,2.7542,0.6816
always_l2,100,0.0100,0.9900,0.6690,0.5328
hard_switch,100,0.0000,1.0000,2.3802,0.8430
