condition,n,fall_rate,success_rate,mean_peak_jerk,std_peak_jerk
aap,100,0.1900,0.8100,5.0052,3.6607
always_l2,100,0.2800,0.7200,2.6349,3.3167
hard_switch,100,0.1800,0.8200,6.0308,4.6914
