condition,n,fall_rate,success_rate,mean_peak_jerk,std_peak_jerk
aap,100,0.1400,0.8600,2.5534,1.0924
always_l2,100,0.0200,0.9800,0.8674,0.5852
hard_switch,100,0.1400,0.8600,2.5638,1.0609
