condition,n,fall_rate,success_rate,mean_peak_jerk,std_peak_jerk
aap,100,0.2600,0.7400,5.3476,3.1177
always_l2,100,0.0100,0.9900,0.6686,0.5356
hard_switch,100,0.1800,0.8200,4.7644,2.3789
