condition,episode,fell,success,peak_jerk,final_height,mean_v_stop
always_l2,0,0,1,0.569190263748169,0.7846862077713013,0.6140295267105103
always_l2,1,0,1,0.6130807995796204,0.7762296795845032,0.6140295267105103
always_l2,2,0,1,0.7749311327934265,0.7877914905548096,0.6140295267105103
always_l2,3,0,1,0.7028122544288635,0.7707328796386719,0.6140295267105103
always_l2,4,0,1,0.5566102266311646,0.7845301628112793,0.6140295267105103
always_l2,5,0,1,0.4918937087059021,0.7481911182403564,0.6140295267105103
always_l2,6,0,1,0.7141889333724976,0.7822259068489075,0.6140295267105103
always_l2,7,0,1,0.614238977432251,0.7778674364089966,0.6140295267105103
always_l2,8,0,1,0.8374860286712646,0.7666875720024109,0.6140295267105103
always_l2,9,0,1,0.7268354892730713,0.7860522866249084,0.6140295267105103
always_l2,10,0,1,0.6015228629112244,0.782863438129425,0.6140295267105103
always_l2,11,0,1,0.5475265383720398,0.761022686958313,0.6140295267105103
always_l2,12,0,1,0.5141515731811523,0.7582054734230042,0.6140295267105103
always_l2,13,0,1,0.6440474390983582,0.7870602607727051,0.6140295267105103
always_l2,14,0,1,0.6442046761512756,0.7754680514335632,0.6140295267105103
always_l2,15,0,1,0.43303146958351135,0.7802667617797852,0.6140295267105103
always_l2,16,0,1,0.4871702492237091,0.7867372035980225,0.6140295267105103
always_l2,17,0,1,0.6764949560165405,0.726986289024353,0.6140295267105103
always_l2,18,0,1,0.7854322791099548,0.737308919429779,0.6140295267105103
always_l2,19,0,1,0.5058121681213379,0.7358306050300598,0.6140295267105103
always_l2,20,0,1,0.4878232777118683,0.7560960054397583,0.6140295267105103
always_l2,21,0,1,0.4609155058860779,0.781334400177002,0.6140295267105103
always_l2,22,0,1,0.9116269946098328,0.7612864971160889,0.6140295267105103
always_l2,23,0,1,0.7847908139228821,0.7731788754463196,0.6140295267105103
always_l2,24,0,1,0.6071799993515015,0.7741174697875977,0.6140295267105103
always_l2,25,0,1,0.7413067817687988,0.7897996306419373,0.6140295267105103
always_l2,26,0,1,0.8633872270584106,0.7878389358520508,0.6140295267105103
always_l2,27,0,1,0.5403500199317932,0.7777137756347656,0.6140295267105103
always_l2,28,0,1,0.6324809789657593,0.7870618104934692,0.6140295267105103
always_l2,29,0,1,0.8539242744445801,0.7892100811004639,0.6140295267105103
always_l2,30,0,1,0.5162175297737122,0.7828368544578552,0.6140295267105103
always_l2,31,0,1,0.7714150547981262,0.7762426733970642,0.6140295267105103
always_l2,32,0,1,1.0069801807403564,0.780257523059845,0.6140295267105103
always_l2,33,0,1,0.49755921959877014,0.7842801213264465,0.6140295267105103
always_l2,34,0,1,0.5700554251670837,0.7363860011100769,0.6140295267105103
always_l2,35,0,1,0.44387131929397583,0.7820929288864136,0.6140295267105103
always_l2,36,0,1,0.6758595108985901,0.7778683304786682,0.6140295267105103
always_l2,37,0,1,0.5444740653038025,0.7592147588729858,0.6140295267105103
always_l2,38,0,1,0.47115465998649597,0.7802006006240845,0.6140295267105103
always_l2,39,0,1,0.9482320547103882,0.7785258293151855,0.6140295267105103
always_l2,40,0,1,0.792323648929596,0.730500340461731,0.6140295267105103
always_l2,41,0,1,0.6815491914749146,0.7827581167221069,0.6140295267105103
always_l2,42,0,1,0.686861515045166,0.766779899597168,0.6140295267105103
always_l2,43,0,1,0.6913014054298401,0.7379177212715149,0.6140295267105103
always_l2,44,0,1,0.6739925742149353,0.7233646512031555,0.6140295267105103
always_l2,45,0,1,0.5012903213500977,0.7375064492225647,0.6140295267105103
always_l2,46,0,1,0.8872941732406616,0.7523713111877441,0.6140295267105103
always_l2,47,0,1,0.576746940612793,0.7297312617301941,0.6140295267105103
always_l2,48,0,1,0.9073560237884521,0.7797265648841858,0.6140295267105103
always_l2,49,0,1,0.42185699939727783,0.7861794233322144,0.6140295267105103
always_l2,50,0,1,0.5564432144165039,0.7762417793273926,0.6140295267105103
always_l2,51,0,1,0.5409525036811829,0.7674681544303894,0.6140295267105103
always_l2,52,0,1,0.40212202072143555,0.784720778465271,0.6140295267105103
always_l2,53,0,1,0.7849791049957275,0.7817221879959106,0.6140295267105103
always_l2,54,0,1,0.7528834342956543,0.7481036186218262,0.6140295267105103
always_l2,55,0,1,0.6653633117675781,0.7851070761680603,0.6140295267105103
always_l2,56,0,1,0.7572264075279236,0.7751436829566956,0.6140295267105103
always_l2,57,0,1,0.8931563496589661,0.7852507829666138,0.6140295267105103
always_l2,58,0,1,1.0051060914993286,0.7738264799118042,0.6140295267105103
always_l2,59,0,1,1.0800092220306396,0.7616901993751526,0.6140295267105103
always_l2,60,0,1,0.9970821738243103,0.755066990852356,0.6140295267105103
always_l2,61,0,1,0.6575573682785034,0.7610016465187073,0.6140295267105103
always_l2,62,0,1,0.9376612901687622,0.7279280424118042,0.6140295267105103
always_l2,63,0,1,0.7454015016555786,0.7777572870254517,0.6140295267105103
always_l2,64,0,1,0.8525468111038208,0.7809277176856995,0.5321656465530396
always_l2,65,0,1,0.6931126117706299,0.7423675656318665,0.5321656465530396
always_l2,66,0,1,0.6842537522315979,0.7815189361572266,0.5321656465530396
always_l2,67,0,1,0.6551520824432373,0.7855565547943115,0.5321656465530396
always_l2,68,0,1,0.9249600768089294,0.7811461091041565,0.5321656465530396
always_l2,69,0,1,0.5356139540672302,0.7399650812149048,0.5321656465530396
always_l2,70,0,1,1.1322237253189087,0.7643288373947144,0.5321656465530396
always_l2,71,0,1,0.8140267729759216,0.7601354122161865,0.5321656465530396
always_l2,72,0,1,0.8119778633117676,0.788175106048584,0.5321656465530396
always_l2,73,0,1,0.5358473658561707,0.7722398042678833,0.5321656465530396
always_l2,74,0,1,0.6451303362846375,0.7875398397445679,0.5321656465530396
always_l2,75,0,1,1.082308292388916,0.7850576043128967,0.5321656465530396
always_l2,76,0,1,1.0221078395843506,0.7879380583763123,0.5321656465530396
always_l2,77,0,1,0.8102386593818665,0.764472484588623,0.5321656465530396
always_l2,78,0,1,0.7066236734390259,0.786756157875061,0.5321656465530396
always_l2,79,0,1,0.6718135476112366,0.7788876891136169,0.5321656465530396
always_l2,80,0,1,0.6623735427856445,0.7324722409248352,0.5321656465530396
always_l2,81,0,1,0.7080578804016113,0.7643477916717529,0.5321656465530396
always_l2,82,0,1,1.2976762056350708,0.7838895916938782,0.5321656465530396
always_l2,83,0,1,0.9744853973388672,0.7853723168373108,0.5321656465530396
always_l2,84,0,1,0.544557511806488,0.7815497517585754,0.5321656465530396
always_l2,85,0,1,0.5778080224990845,0.7608603239059448,0.5321656465530396
always_l2,86,0,1,0.7435631155967712,0.7829564213752747,0.5321656465530396
always_l2,87,0,1,0.7916735410690308,0.7877395153045654,0.5321656465530396
always_l2,88,0,1,0.7199658751487732,0.7861698269844055,0.5321656465530396
always_l2,89,0,1,0.6649107336997986,0.7531367540359497,0.5321656465530396
always_l2,90,0,1,0.7290864586830139,0.714652955532074,0.5321656465530396
always_l2,91,0,1,0.3840559124946594,0.7486964464187622,0.5321656465530396
always_l2,92,0,1,0.8590448498725891,0.7810333967208862,0.5321656465530396
always_l2,93,0,1,0.7803515791893005,0.7686188817024231,0.5321656465530396
always_l2,94,0,1,0.44144028425216675,0.7886241674423218,0.5321656465530396
always_l2,95,0,1,0.7515869736671448,0.776799738407135,0.5321656465530396
always_l2,96,0,1,0.9100183248519897,0.7790029048919678,0.5321656465530396
always_l2,97,0,1,0.7034151554107666,0.7199727892875671,0.5321656465530396
always_l2,98,0,1,0.5837653875350952,0.773880660533905,0.5321656465530396
always_l2,99,0,1,0.4641222059726715,0.7695481181144714,0.5321656465530396
hard_switch,0,1,0,8.555099487304688,0.800000011920929,0.42422035336494446
hard_switch,1,1,0,9.050148010253906,0.800000011920929,0.4968182444572449
hard_switch,2,1,0,7.186676025390625,0.800000011920929,0.5565019249916077
hard_switch,3,1,0,17.03911590576172,0.800000011920929,0.48200172185897827
hard_switch,4,1,0,6.5770673751831055,0.800000011920929,0.518143355846405
hard_switch,5,1,0,7.686415672302246,0.800000011920929,0.5926811695098877
hard_switch,6,1,0,11.844144821166992,0.800000011920929,0.5853587985038757
hard_switch,7,1,0,12.527682304382324,0.800000011920929,0.5448430180549622
hard_switch,8,1,0,14.79886531829834,0.800000011920929,0.6073253154754639
hard_switch,9,1,0,9.582520484924316,0.800000011920929,0.5671823620796204
hard_switch,10,0,1,3.355884075164795,0.7817426919937134,0.6425273418426514
hard_switch,11,0,1,3.9060394763946533,0.7709943056106567,0.6425273418426514
hard_switch,12,0,1,3.6078450679779053,0.7834151983261108,0.6425273418426514
hard_switch,13,0,1,3.445310115814209,0.7777941226959229,0.6425273418426514
hard_switch,14,0,1,3.4628188610076904,0.7856967449188232,0.6425273418426514
hard_switch,15,0,1,3.8649542331695557,0.7897666692733765,0.6425273418426514
hard_switch,16,0,1,5.975996971130371,0.7828800082206726,0.6425273418426514
hard_switch,17,0,1,3.921671152114868,0.7837966084480286,0.6425273418426514
hard_switch,18,0,1,4.753524303436279,0.773186981678009,0.6425273418426514
hard_switch,19,0,1,4.230266571044922,0.7839463949203491,0.6425273418426514
hard_switch,20,0,1,4.798117160797119,0.7844229936599731,0.6425273418426514
hard_switch,21,0,1,4.818018913269043,0.7864667773246765,0.6425273418426514
hard_switch,22,0,1,2.740710496902466,0.7796022891998291,0.6425273418426514
hard_switch,23,0,1,4.62385892868042,0.773614764213562,0.6425273418426514
hard_switch,24,0,1,3.521857738494873,0.7884621024131775,0.6425273418426514
hard_switch,25,0,1,4.323544025421143,0.7817484140396118,0.6425273418426514
hard_switch,26,0,1,2.9197278022766113,0.782984733581543,0.6425273418426514
hard_switch,27,0,1,4.768527030944824,0.7616323828697205,0.6425273418426514
hard_switch,28,0,1,4.8862128257751465,0.7828216552734375,0.6425273418426514
hard_switch,29,0,1,5.14441442489624,0.7872510552406311,0.6425273418426514
hard_switch,30,0,1,4.858007907867432,0.7754364609718323,0.6425273418426514
hard_switch,31,0,1,4.065789699554443,0.7844039797782898,0.6425273418426514
hard_switch,32,0,1,4.625555992126465,0.7845025658607483,0.6425273418426514
hard_switch,33,0,1,2.799264669418335,0.7754632830619812,0.6425273418426514
hard_switch,34,0,1,4.287233352661133,0.780364990234375,0.6425273418426514
hard_switch,35,0,1,3.254889488220215,0.7880749702453613,0.6425273418426514
hard_switch,36,0,1,3.891974925994873,0.7822084426879883,0.6425273418426514
hard_switch,37,0,1,4.97669792175293,0.7843961119651794,0.6425273418426514
hard_switch,38,0,1,3.778834342956543,0.7755956053733826,0.6425273418426514
hard_switch,39,0,1,4.693390846252441,0.7824271321296692,0.6425273418426514
hard_switch,40,0,1,3.3935301303863525,0.783871591091156,0.6425273418426514
hard_switch,41,0,1,4.317681789398193,0.7817290425300598,0.6425273418426514
hard_switch,42,0,1,4.921308994293213,0.7772846221923828,0.6425273418426514
hard_switch,43,0,1,5.6020965576171875,0.7758188247680664,0.6425273418426514
hard_switch,44,0,1,3.846184730529785,0.7796632051467896,0.6425273418426514
hard_switch,45,0,1,4.657285213470459,0.7790549993515015,0.6425273418426514
