condition,n,fall_rate,success_rate,mean_peak_jerk,std_peak_jerk
aap,100,0.5400,0.4600,1.5198,0.4417
always_l2,100,0.2500,0.7500,2.6081,3.5079
hard_switch,100,0.4800,0.5200,1.6354,0.5234
