step,fell_so_far,height,tilt_rad,action_norm,action_rate_raw,dev_legs_hip,dev_waist,dev_arms,rew_track_lin_vel_xy,rew_track_ang_vel_z,rew_alive,rew_base_linear_velocity,rew_base_angular_velocity,rew_joint_vel,rew_joint_acc,rew_action_rate,rew_dof_pos_limits,rew_energy,rew_joint_deviation_arms,rew_joint_deviation_waists,rew_joint_deviation_legs,rew_flat_orientation_l2,rew_base_height,rew_feet_slide,rew_undesired_contacts
0,0,0.7398325204849243,0.02039157785475254,2.636826276779175,0.0,0.13692514598369598,0.09248711168766022,0.6699292063713074,0.012471017427742481,0.7246111035346985,0.5,-0.012242111377418041,-0.4375409781932831,-0.17374208569526672,-0.02748480811715126,-1.3905706405639648,-0.0,-0.01051366701722145,-0.10048937797546387,-0.09248710423707962,-0.13692514598369598,-0.003325621597468853,-0.019361088052392006,-0.3721703290939331,-0.0
1,0,0.7405053377151489,0.02215680293738842,3.383352279663086,0.9284874200820923,0.07809337973594666,0.15216030180454254,0.556908905506134,0.023996127769351006,0.0008874877239577472,0.5,-0.007178798783570528,-0.2545015513896942,-0.10419374704360962,-0.01275657583028078,-0.18569748103618622,-0.0,-0.007299714256078005,-0.08353634178638458,-0.15216030180454254,-0.07809337973594666,-0.003926659934222698,-0.018717912957072258,-0.03325527906417847,-0.0
2,0,0.7405263781547546,0.05219265818595886,3.827855348587036,2.0969486236572266,0.055841460824012756,0.20257550477981567,0.5305988788604736,0.10626574605703354,0.0032959836535155773,0.5,-0.006680463440716267,-0.29495468735694885,-0.06275107711553574,-0.006800664588809013,-0.4193897247314453,-0.0,-0.004283383022993803,-0.0795898288488388,-0.20257548987865448,-0.055841460824012756,-0.0217727143317461,-0.01869797334074974,-0.04127974435687065,-0.0
3,0,0.7400269508361816,0.08977366238832474,4.49244499206543,1.2272586822509766,0.08698015660047531,0.22278158366680145,0.5208593010902405,0.4031583070755005,0.10657495260238647,0.5,-0.006932720076292753,-0.4774024188518524,-0.06033531576395035,-0.005412780214101076,-0.24545171856880188,-0.0,-0.0034361386206001043,-0.07812889665365219,-0.22278158366680145,-0.08698015660047531,-0.06430119276046753,-0.019174108281731606,-0.04628271609544754,-0.0
4,0,0.7394062876701355,0.13771100342273712,4.831892013549805,0.35985738039016724,0.12207212299108505,0.21501976251602173,0.5782425403594971,0.8544156551361084,0.314889132976532,0.5,-0.010537253692746162,-0.6177508234977722,-0.07343872636556625,-0.004548517055809498,-0.07197147607803345,-0.0,-0.0031501043122261763,-0.08673637360334396,-0.21501974761486053,-0.12207211554050446,-0.1507575809955597,-0.019774163141846657,-0.045654296875,-0.0
5,0,0.7389470338821411,0.19237545132637024,4.7239813804626465,0.3612334728240967,0.1329008936882019,0.18968698382377625,0.6789323091506958,1.1551783084869385,0.34661635756492615,0.5,-0.016389766708016396,-0.763346791267395,-0.07067831605672836,-0.01635037735104561,-0.07224669307470322,-0.0,-0.0026846847031265497,-0.10183984041213989,-0.18968696892261505,-0.1329008936882019,-0.2924322187900543,-0.02022412419319153,-0.03545770421624184,-0.0
6,0,0.7382681369781494,0.25746992230415344,4.689514636993408,0.5833262801170349,0.12427602708339691,0.1584165096282959,0.7830817699432373,1.3465818166732788,0.4213756322860718,0.5,-0.013243544846773148,-1.1037095785140991,-0.07944842427968979,-0.003763997694477439,-0.11666525155305862,-0.0,-0.002101743360981345,-0.11746226996183395,-0.1584165096282959,-0.12427601963281631,-0.5187106728553772,-0.020898548886179924,-0.0323726050555706,-0.0
7,0,0.7368570566177368,0.3315921127796173,4.748791217803955,0.4188535213470459,0.11219704151153564,0.13407301902770996,0.8769453763961792,1.4251799583435059,0.5546144843101501,0.5,-0.006095446180552244,-1.3660105466842651,-0.08067622780799866,-0.0030988038051873446,-0.08377070724964142,-0.0,-0.0015496800187975168,-0.13154181838035583,-0.13407301902770996,-0.11219703406095505,-0.8478557467460632,-0.022335732355713844,-0.036474987864494324,-0.0
8,0,0.7342429161071777,0.41294389963150024,4.843421459197998,0.5231322050094604,0.10066516697406769,0.13193565607070923,0.9644353985786438,1.4407190084457397,0.5572714805603027,0.5,-0.0004992763279005885,-1.603450059890747,-0.08147919178009033,-0.004643016494810581,-0.10462643951177597,-0.0,-0.001370775979012251,-0.14466531574726105,-0.13193565607070923,-0.10066516697406769,-1.288381814956665,-0.02512449584901333,-0.029185844585299492,-0.0
9,0,0.7300342321395874,0.4994336664676666,5.147740364074707,0.24745316803455353,0.08816476166248322,0.13182564079761505,1.0839221477508545,1.4346643686294556,0.7424080967903137,0.5,-0.0014163616579025984,-1.7595149278640747,-0.08151329308748245,-0.0027355256024748087,-0.049490634351968765,-0.0,-0.001184216351248324,-0.16258832812309265,-0.13182564079761505,-0.08816475421190262,-1.8349792957305908,-0.029958898201584816,-0.021637890487909317,-0.0
