step,fell_so_far,height,tilt_rad,action_norm,action_rate_raw,dev_legs_hip,dev_waist,dev_arms,rew_track_lin_vel_xy,rew_track_ang_vel_z,rew_alive,rew_base_linear_velocity,rew_base_angular_velocity,rew_joint_vel,rew_joint_acc,rew_action_rate,rew_dof_pos_limits,rew_energy,rew_joint_deviation_arms,rew_joint_deviation_waists,rew_joint_deviation_legs,rew_flat_orientation_l2,rew_base_height,rew_feet_slide,rew_undesired_contacts
0,0,0.7612931728363037,0.04082326591014862,2.3315072059631348,0.0,0.08874574303627014,0.08244045078754425,0.5670188665390015,0.5243854522705078,0.15220192074775696,0.5,-0.04293035343289375,-0.24321286380290985,-0.18564502894878387,-0.0056053223088383675,-1.087185263633728,-0.0,-0.00312247546389699,-0.08505283296108246,-0.08244045078754425,-0.08874574303627014,-0.013325104489922523,-0.004199331626296043,-0.001367870718240738,-0.0
1,0,0.762629508972168,0.05196709558367729,3.8628299236297607,6.248082637786865,0.09528377652168274,0.09744903445243835,0.5068515539169312,0.5445609092712402,0.31778964400291443,0.5,-0.016448814421892166,-0.0013691018102690578,-0.06926793605089188,-0.007614502217620611,-1.2496165037155151,-0.0,-0.003373885527253151,-0.07602773606777191,-0.09744903445243835,-0.09528377652168274,-0.021585119888186455,-0.00362079543992877,-0.03646647185087204,-0.0
2,0,0.7631953358650208,0.04471946507692337,4.747530937194824,1.9543880224227905,0.0901922956109047,0.10774858295917511,0.6063962578773499,0.5333328247070312,0.03883187100291252,0.5,-0.007572498172521591,-0.03939008712768555,-0.09766773879528046,-0.006088836584240198,-0.3908775746822357,-0.0,-0.004306717310100794,-0.09095944464206696,-0.10774858295917511,-0.0901922956109047,-0.015987928956747055,-0.0033887492027133703,-0.03902097046375275,-0.0
3,0,0.7634848356246948,0.03596775233745575,4.57142972946167,0.988770067691803,0.0926065593957901,0.10249269753694534,0.6386542916297913,0.5216062068939209,0.05028967186808586,0.5,-0.0031608480494469404,-0.021510537713766098,-0.07341073453426361,-0.006872537080198526,-0.19775401055812836,-0.0,-0.0033053765073418617,-0.09579814225435257,-0.10249269008636475,-0.0926065519452095,-0.010345084592700005,-0.003272996749728918,-0.024759959429502487,-0.0
4,0,0.7631863951683044,0.03281455114483833,3.8031020164489746,1.414060115814209,0.10624358803033829,0.10085247457027435,0.5788155794143677,0.4436415731906891,0.16721010208129883,0.5,-0.00022638698283117265,-0.006216677837073803,-0.055753886699676514,-0.00491421390324831,-0.2828120291233063,-0.0,-0.0017883965047076344,-0.08682233840227127,-0.10085246711969376,-0.10624358803033829,-0.008611665107309818,-0.0033923559822142124,-0.013162177987396717,-0.0
5,0,0.7617887854576111,0.03451287001371384,3.3103206157684326,0.770642876625061,0.12328527867794037,0.10941513627767563,0.4828718602657318,0.36394888162612915,0.6605368852615356,0.5,-0.009283572435379028,-0.019687727093696594,-0.0899822860956192,-0.004684705287218094,-0.15412858128547668,-0.0,-0.0020524782594293356,-0.07243078202009201,-0.10941512882709503,-0.12328527867794037,-0.009525706991553307,-0.003979767672717571,-0.0027414471842348576,-0.0
6,0,0.7588216066360474,0.04180174320936203,2.869325876235962,0.8457000851631165,0.13208609819412231,0.11023803055286407,0.38392287492752075,0.29380014538764954,0.747502326965332,0.5,-0.04889731481671333,-0.08712925761938095,-0.12326054275035858,-0.005478185601532459,-0.16914002597332,-0.0,-0.002521159593015909,-0.05758843198418617,-0.11023803055286407,-0.13208609819412231,-0.013971051201224327,-0.005382278002798557,-0.003877045353874564,-0.0
7,0,0.7552965879440308,0.044596634805202484,2.9228062629699707,0.4112311005592346,0.13233935832977295,0.09807130694389343,0.46642619371414185,0.23440669476985931,0.688030481338501,0.5,-0.004192451015114784,-0.02842053957283497,-0.07409650832414627,-0.8595781326293945,-0.08224622160196304,-0.0,-0.00247597717680037,-0.06996393203735352,-0.09807130694389343,-0.13233935832977295,-0.01590018719434738,-0.007323085330426693,-0.03929249197244644,-0.0
8,0,0.7547192573547363,0.04471813142299652,3.2250139713287354,0.9961108565330505,0.13199341297149658,0.06785141676664352,0.553490161895752,0.4296128749847412,0.5453895330429077,0.5,-0.0028127438854426146,-0.024188870564103127,-0.024285534396767616,-0.004443688318133354,-0.1992221623659134,-0.0,-0.0015849542105570436,-0.08302352577447891,-0.06785140931606293,-0.13199341297149658,-0.015986688435077667,-0.007669374346733093,-0.021517066285014153,-0.0
9,0,0.7547087073326111,0.0498553067445755,3.8014485836029053,0.8888627886772156,0.1232343465089798,0.05830364674329758,0.5768091082572937,0.6361790895462036,0.7146158814430237,0.5,-0.003754330100491643,-0.009666886180639267,-0.03141558915376663,-0.00301829120144248,-0.17777256667613983,-0.0,-0.0013438303722068667,-0.08652137219905853,-0.05830364674329758,-0.1232343465089798,-0.019867952913045883,-0.007675776723772287,-0.0012081777676939964,-0.0
