step,fell_so_far,height,tilt_rad,action_norm,action_rate_raw,dev_legs_hip,dev_waist,dev_arms,rew_track_lin_vel_xy,rew_track_ang_vel_z,rew_alive,rew_base_linear_velocity,rew_base_angular_velocity,rew_joint_vel,rew_joint_acc,rew_action_rate,rew_dof_pos_limits,rew_energy,rew_joint_deviation_arms,rew_joint_deviation_waists,rew_joint_deviation_legs,rew_flat_orientation_l2,rew_base_height,rew_feet_slide,rew_undesired_contacts
0,0,0.758850634098053,0.07531054317951202,1.5668858289718628,0.0,0.07606060802936554,0.07129205018281937,0.5362284183502197,0.7331490516662598,0.7498453855514526,0.5,-5.30018332938198e-05,-0.033122915774583817,-0.25929754972457886,-0.2595081925392151,-0.49102622270584106,-0.0,-0.001068849116563797,-0.08043426275253296,-0.07129205018281937,-0.07606060802936554,-0.04528814181685448,-0.005367533769458532,-0.02499726600944996,-0.0
1,0,0.7589541673660278,0.06274160742759705,2.412597417831421,2.4926018714904785,0.06412115693092346,0.10806450247764587,0.3415846526622772,0.5668846368789673,0.7252582311630249,0.5,-0.0002949204936157912,-0.04425376281142235,-0.05918142944574356,-0.004886031616479158,-0.4985203444957733,-0.0,-0.002364901127293706,-0.051237694919109344,-0.10806450247764587,-0.06412115693092346,-0.03145122155547142,-0.005315110087394714,-0.04131890460848808,-0.0
2,0,0.7588739991188049,0.05445282533764839,3.1569364070892334,1.1764283180236816,0.062293946743011475,0.12070545554161072,0.37173277139663696,0.6423447728157043,0.5876291990280151,0.5,-0.0007780414307489991,-0.006463251542299986,-0.0345364511013031,-0.004222757648676634,-0.2352856546640396,-0.0,-0.001727322698570788,-0.055759917944669724,-0.12070544809103012,-0.062293943017721176,-0.023697389289736748,-0.005355680361390114,-0.0096193328499794,-0.0
3,0,0.7590972185134888,0.05459282547235489,3.5678203105926514,0.33405664563179016,0.05703742057085037,0.12394946813583374,0.4133716821670532,0.7420377135276794,0.6544654965400696,0.5,-0.004438138101249933,-0.006648126058280468,-0.03398134559392929,-0.003055587876588106,-0.06681133061647415,-0.0,-0.0021969263907521963,-0.062005750834941864,-0.12394946813583374,-0.05703742057085037,-0.023819688707590103,-0.005243100691586733,-0.02773309499025345,-0.0
4,0,0.7597119808197021,0.05844520032405853,3.6034607887268066,0.08601153641939163,0.06417709589004517,0.11815918982028961,0.424134224653244,0.8406341075897217,0.6708062887191772,0.5,-0.0073027461767196655,-0.010730693116784096,-0.028167754411697388,-0.0017113544745370746,-0.017202308401465416,-0.0,-0.002009637886658311,-0.06362013518810272,-0.11815918982028961,-0.06417709589004517,-0.027295803651213646,-0.0049392301589250565,-0.025096742436289787,-0.0
5,0,0.7605689764022827,0.062085095793008804,3.4270753860473633,0.13052889704704285,0.0766044557094574,0.11405934393405914,0.41811567544937134,0.9414301514625549,0.7442855834960938,0.5,-0.008954661898314953,-0.011998732574284077,-0.016391610726714134,-0.00235902052372694,-0.02610578015446663,-0.0,-0.0013926217798143625,-0.06271734833717346,-0.11405934393405914,-0.0766044557094574,-0.030796483159065247,-0.004530762787908316,-0.005853657610714436,-0.0
6,0,0.7614114284515381,0.06344962865114212,3.297473192214966,0.056712664663791656,0.0907248929142952,0.10812017321586609,0.4218675196170807,0.9599286913871765,0.7297165393829346,0.5,-0.00747894449159503,-0.006125783082097769,-0.016463395208120346,-0.0008186065242625773,-0.011342532932758331,-0.0,-0.0014424874680116773,-0.0632801279425621,-0.10812017321586609,-0.0907248929142952,-0.032163430005311966,-0.004146406892687082,-0.005156233906745911,-0.0
7,0,0.7620485424995422,0.0625712126493454,3.3537261486053467,0.10907422006130219,0.10604621469974518,0.09840507060289383,0.45078766345977783,0.9458053708076477,0.6817576885223389,0.5,-0.0051744189113378525,-0.00377131556160748,-0.017558393999934196,-0.0008063652785494924,-0.021814843639731407,-0.0,-0.0013902327045798302,-0.06761815398931503,-0.09840507060289383,-0.10604620724916458,-0.03128049895167351,-0.003867045510560274,-0.005699599161744118,-0.0
8,0,0.7623018026351929,0.058852970600128174,3.261838674545288,0.10422977805137634,0.12357911467552185,0.08693239092826843,0.4841032922267914,0.9376736283302307,0.6153173446655273,0.5,-0.0013186694122850895,-0.014518413692712784,-0.016556866466999054,-0.0009536751313135028,-0.02084595523774624,-0.0,-0.0010931661818176508,-0.07261549681425095,-0.08693239092826843,-0.12357911467552185,-0.027677390724420547,-0.0037587019614875317,-0.003610520390793681,-0.0
9,0,0.7621303796768188,0.05273709446191788,3.3185513019561768,0.12708799540996552,0.14138659834861755,0.07588478922843933,0.5166535973548889,0.9341639280319214,0.6023187637329102,0.5,-0.000265777634922415,-0.024216076359152794,-0.01678445190191269,-0.0008081520791165531,-0.025417599827051163,-0.0,-0.0008637331775389612,-0.07749804109334946,-0.07588478922843933,-0.14138659834861755,-0.02222944051027298,-0.0038318673614412546,-0.004365439992398024,-0.0
10,0,0.7617578506469727,0.0472126230597496,3.11844539642334,0.17758578062057495,0.15834017097949982,0.06459510326385498,0.5464174747467041,0.9526818990707397,0.42762210965156555,0.5,-5.7050430768867955e-05,-0.03905586525797844,-0.020396118983626366,-0.000995588954538107,-0.03551715612411499,-0.0,-0.0009635777096264064,-0.08196262270212173,-0.06459510326385498,-0.15834017097949982,-0.01781853474676609,-0.003993299789726734,-0.0070495582185685635,-0.0
11,0,0.7611674070358276,0.04169749468564987,3.12180495262146,0.11381099373102188,0.17517468333244324,0.057684727013111115,0.5732854008674622,0.9225151538848877,0.23810681700706482,0.5,-4.036410609842278e-05,-0.06969282031059265,-0.020817074924707413,-0.0013850359246134758,-0.022762198001146317,-0.0,-0.0012260518269613385,-0.08599280565977097,-0.057684723287820816,-0.17517466843128204,-0.013900975696742535,-0.004255985841155052,-0.012558771297335625,-0.0
12,0,0.7616785764694214,0.04653717204928398,3.0563478469848633,0.33406734466552734,0.17190364003181458,0.037616290152072906,0.5736138820648193,0.9976130723953247,0.7472281455993652,0.5,-0.023511284962296486,-0.025813769549131393,-0.019629960879683495,-0.004413357004523277,-0.06681346893310547,-0.0,-0.00122015830129385,-0.08604208379983902,-0.037616290152072906,-0.17190364003181458,-0.017313281074166298,-0.0040280818939208984,-0.03536926582455635,-0.0
13,0,0.7631662487983704,0.05042969062924385,3.120572090148926,2.33774733543396,0.16843050718307495,0.034727439284324646,0.5475023984909058,1.1192091703414917,0.596142053604126,0.5,-0.021827945485711098,-0.02749890275299549,-0.0450713224709034,-0.0010436364682391286,-0.4675494432449341,-0.0,-0.0015044984174892306,-0.08212536573410034,-0.034727439284324646,-0.16843050718307495,-0.020328283309936523,-0.0034004903864115477,-0.0393093079328537,-0.0
14,0,0.7643910050392151,0.04793083295226097,3.723572254180908,1.4774495363235474,0.1657155305147171,0.020750820636749268,0.5057941675186157,1.2071387767791748,0.7422662973403931,0.5,-0.016257688403129578,-0.010596665553748608,-0.050142161548137665,-0.0025826606433838606,-0.2954899072647095,-0.0,-0.0015430091880261898,-0.0758691281080246,-0.020750820636749268,-0.1657155156135559,-0.01836463063955307,-0.0029236781410872936,-0.0008859257795847952,-0.0
15,0,0.7654522657394409,0.044059958308935165,3.719071626663208,0.34711161255836487,0.16189183294773102,0.022396009415388107,0.4664268493652344,1.2807068824768066,0.7494974136352539,0.5,-0.010381878353655338,-0.008578978478908539,-0.03297235816717148,-0.0026513985358178616,-0.06942232698202133,-0.0,-0.0012333705089986324,-0.06996402144432068,-0.022396009415388107,-0.16189183294773102,-0.015519815497100353,-0.0025396288838237524,-0.001400780864059925,-0.0
16,0,0.766162097454071,0.04238671809434891,3.446444511413574,0.2538850009441376,0.15551042556762695,0.026008600369095802,0.4661616384983063,1.3293455839157104,0.7436210513114929,0.5,-0.0036631489638239145,-0.004243073053658009,-0.01462606992572546,-0.0021538767032325268,-0.050776999443769455,-0.0,-0.0008828949648886919,-0.0699242427945137,-0.026008600369095802,-0.15551042556762695,-0.014364754781126976,-0.0022978410124778748,-0.0020478477235883474,-0.0
17,0,0.7661340832710266,0.04267410188913345,3.0875866413116455,0.3350132703781128,0.14821207523345947,0.02919076755642891,0.4559323787689209,1.3492662906646729,0.7176348567008972,0.5,-4.008695395896211e-05,-0.00029468859429471195,-0.01922658272087574,-0.0013415270950645208,-0.06700265407562256,-0.0,-0.0008293595747090876,-0.06838986277580261,-0.02919076569378376,-0.14821207523345947,-0.014560154639184475,-0.0023071542382240295,-0.00475161150097847,-0.0
18,0,0.7652825713157654,0.041882965713739395,2.8230347633361816,0.2671624422073364,0.13953720033168793,0.03924332931637764,0.458415150642395,1.3660295009613037,0.6504629254341125,0.5,-0.0032944385893642902,-0.005526889115571976,-0.03369908779859543,-0.001481537357904017,-0.053432490676641464,-0.0,-0.0009918803116306663,-0.06876227259635925,-0.03924332931637764,-0.13953720033168793,-0.014025627635419369,-0.0025992223527282476,-0.009775721468031406,-0.0
19,0,0.7638876438140869,0.04058891534805298,2.604444742202759,0.2858743369579315,0.13068705797195435,0.050374455749988556,0.45783141255378723,1.4072918891906738,0.6905660033226013,0.5,-0.006828769110143185,-0.018612582236528397,-0.04407728835940361,-0.002067191293463111,-0.057174865156412125,-0.0,-0.001412426121532917,-0.0686747133731842,-0.05037445202469826,-0.13068705797195435,-0.013172524981200695,-0.003115285187959671,-0.015000639483332634,-0.0
20,0,0.7627182602882385,0.03865380585193634,2.538831949234009,0.11009765416383743,0.1278095245361328,0.057260408997535706,0.455639123916626,1.4012551307678223,0.6425180435180664,0.5,-0.0008613982354290783,-0.0124512342736125,-0.044389963150024414,-0.02853391133248806,-0.022019531577825546,-0.0,-0.0017448629951104522,-0.06834587454795837,-0.05726040527224541,-0.1278095245361328,-0.011946644634008408,-0.00358389038592577,-0.0553162544965744,-0.0
21,0,0.7632430791854858,0.04094284772872925,2.2681467533111572,0.16277194023132324,0.13075491786003113,0.040870700031518936,0.4436342716217041,1.4783629179000854,0.7110921144485474,0.5,-0.007883240468800068,-0.012077520601451397,-0.01011751964688301,-0.0021803569979965687,-0.03255438804626465,-0.0,-0.0009228082490153611,-0.06654514372348785,-0.040870700031518936,-0.13075491786003113,-0.013403265736997128,-0.003369521349668503,-0.013123631477355957,-0.0
22,0,0.7643822431564331,0.045112401247024536,1.978577733039856,0.20646661520004272,0.13156311213970184,0.031215522438287735,0.4511561989784241,1.4964412450790405,0.7499961853027344,0.5,-0.012413221411406994,-0.003893602406606078,-0.009238979779183865,-0.0006652769516222179,-0.041293319314718246,-0.0,-0.001020308816805482,-0.06767342239618301,-0.031215522438287735,-0.13156311213970184,-0.016269559040665627,-0.002926961053162813,-0.009547218680381775,-0.0
23,0,0.7656629681587219,0.046083964407444,1.801155924797058,0.09441673755645752,0.13208913803100586,0.03774850443005562,0.4681971073150635,1.494990587234497,0.749966561794281,0.5,-0.011358710937201977,-0.0010503735393285751,-0.00774099538102746,-0.00033649714896455407,-0.018883347511291504,-0.0,-0.000864450354129076,-0.07022956758737564,-0.03774850443005562,-0.13208913803100586,-0.016977647319436073,-0.002466595731675625,-0.007712007965892553,-0.0
24,0,0.7667535543441772,0.04189862310886383,1.6462286710739136,0.19931268692016602,0.1320832073688507,0.0461190789937973,0.47678589820861816,1.4935450553894043,0.6880635619163513,0.5,-0.006600588094443083,-0.008613537065684795,-0.004432725254446268,-0.00028458156157284975,-0.03986253961920738,-0.0,-0.0005571413785219193,-0.07151788473129272,-0.0461190789937973,-0.1320832073688507,-0.014035492204129696,-0.002105610677972436,-0.00348867429420352,-0.0
25,0,0.7674323916435242,0.03575996309518814,1.5532786846160889,0.34310483932495117,0.13207197189331055,0.048723943531513214,0.4662007689476013,1.4821805953979492,0.740135133266449,0.5,-0.0026112045161426067,-0.009594406001269817,-0.0028312131762504578,-0.00022975393221713603,-0.06862097233533859,-0.0,-0.0003277327341493219,-0.06993012130260468,-0.048723943531513214,-0.13207197189331055,-0.010225626640021801,-0.001895328750833869,-0.003583976300433278,-0.0
26,0,0.7677903175354004,0.0299160648137331,1.5499259233474731,0.09061619639396667,0.13211488723754883,0.046723250299692154,0.431515634059906,1.4723666906356812,0.7440061569213867,0.5,-0.0013889414258301258,-0.007196356542408466,-0.0025459544267505407,-0.00015477865235880017,-0.018123239278793335,-0.0,-0.0002733845030888915,-0.06472735106945038,-0.046723250299692154,-0.13211488723754883,-0.007157542742788792,-0.0017889076843857765,-0.003366645658388734,-0.0
27,0,0.7678963541984558,0.024482937529683113,1.5438055992126465,0.07586652785539627,0.13212913274765015,0.04021840542554855,0.38929763436317444,1.4646546840667725,0.7016258835792542,0.5,-0.0003437387349549681,-0.005744178779423237,-0.0030721984803676605,-0.00016080298519227654,-0.015173304826021194,-0.0,-0.00021061598090454936,-0.058394648134708405,-0.04021840542554855,-0.13212913274765015,-0.0047943079844117165,-0.0017579705454409122,-0.002532878192141652,-0.0
28,0,0.7677375078201294,0.019372211769223213,1.5794987678527832,0.11846136301755905,0.13234934210777283,0.03467611223459244,0.37141260504722595,1.464379906654358,0.7468688488006592,0.5,-6.63008847823221e-08,-0.004831823520362377,-0.002475886605679989,-0.00022717472165822983,-0.02369227074086666,-0.0,-0.00017323043721262366,-0.05571189150214195,-0.03467611223459244,-0.13234934210777283,-0.0030020130798220634,-0.0018044160678982735,-0.0023096792865544558,-0.0
29,0,0.7674086093902588,0.014978520572185516,1.5874110460281372,0.028749749064445496,0.13277825713157654,0.03168093040585518,0.37645071744918823,1.4719440937042236,0.7261302471160889,0.5,-5.9095815231557935e-05,-0.003289934014901519,-0.0024879046250134706,-0.00015094249101821333,-0.005749949719756842,-0.0,-0.00018189079128205776,-0.05646761134266853,-0.03168093040585518,-0.13277825713157654,-0.0017948452150449157,-0.0019025086658075452,-0.002077975310385227,-0.0
