step,fell_so_far,height,tilt_rad,action_norm,action_rate_raw,dev_legs_hip,dev_waist,dev_arms,rew_track_lin_vel_xy,rew_track_ang_vel_z,rew_alive,rew_base_linear_velocity,rew_base_angular_velocity,rew_joint_vel,rew_joint_acc,rew_action_rate,rew_dof_pos_limits,rew_energy,rew_joint_deviation_arms,rew_joint_deviation_waists,rew_joint_deviation_legs,rew_flat_orientation_l2,rew_base_height,rew_feet_slide,rew_undesired_contacts
0,0,0.7609589695930481,0.08952400088310242,2.2618391513824463,0.0,0.26142027974128723,0.046957943588495255,1.0614712238311768,0.00024681855575181544,0.388304203748703,0.5,-0.03382783755660057,-0.08255454897880554,-0.2156733274459839,-0.8530380129814148,-1.0231833457946777,-0.0,-0.0061676595360040665,-0.15922069549560547,-0.046957943588495255,-0.26142027974128723,-0.06394527852535248,-0.004350717179477215,-0.8994272947311401,-0.0
1,0,0.7590568661689758,0.08825837075710297,2.5854263305664062,0.5840966701507568,0.25141945481300354,0.08570533245801926,0.9897812604904175,0.00015371537301689386,0.27946871519088745,0.5,-0.00443777022883296,-0.014335237443447113,-0.09169060736894608,-0.014655827544629574,-0.11681932955980301,-0.0,-0.004170810803771019,-0.14846719801425934,-0.08570533245801926,-0.25141945481300354,-0.062154918909072876,-0.005263363942503929,-0.40241238474845886,-0.0
2,0,0.7584607005119324,0.07779056578874588,2.7924747467041016,0.23190981149673462,0.25187522172927856,0.09816573560237885,1.0844048261642456,0.0002312574943061918,0.008352397009730339,0.5,-0.00032351244590245187,-0.07977694272994995,-0.05359572172164917,-0.01000952534377575,-0.046381957828998566,-0.0,-0.004046476911753416,-0.16266073286533356,-0.09816572815179825,-0.25187522172927856,-0.04831364005804062,-0.005567282438278198,-0.1673295646905899,-0.0
3,0,0.7586950063705444,0.07171960175037384,3.5033340454101562,1.1289311647415161,0.2531309425830841,0.13049626350402832,1.193195104598999,0.0010619123931974173,0.09320531040430069,0.5,-0.011769072152674198,-0.19115643203258514,-0.03500567376613617,-0.004706173203885555,-0.2257862389087677,-0.0,-0.002823289716616273,-0.1789792776107788,-0.13049624860286713,-0.2531309425830841,-0.041079115122556686,-0.00544681865721941,-0.18700888752937317,-0.0
4,0,0.7593486309051514,0.09063317626714706,4.546219825744629,1.8757705688476562,0.25108200311660767,0.15405133366584778,1.2962183952331543,0.012246980331838131,0.7406126856803894,0.5,-0.03298606351017952,-0.4835797846317291,-0.04352068528532982,-0.003743469947949052,-0.3751541078090668,-0.0,-0.004306368995457888,-0.19443276524543762,-0.15405133366584778,-0.25108200311660767,-0.06553490459918976,-0.005117734428495169,-0.2636823356151581,-0.0
5,0,0.7601858377456665,0.13149318099021912,4.99772310256958,0.7483787536621094,0.23985537886619568,0.1556616872549057,1.3412244319915771,0.06583511829376221,0.7214876413345337,0.5,-0.06480443477630615,-0.6524388194084167,-0.06316647678613663,-0.0038252691738307476,-0.14967575669288635,-0.0,-0.004050991032272577,-0.20118367671966553,-0.1556616872549057,-0.23985537886619568,-0.13752847909927368,-0.00471119862049818,-0.3197691738605499,-0.0
6,0,0.7612495422363281,0.17947125434875488,4.945683002471924,0.3189195394515991,0.2230227142572403,0.14018356800079346,1.3227602243423462,0.162374347448349,0.7303951978683472,0.5,-0.09858773648738861,-0.7015826106071472,-0.06324788182973862,-0.004795060958713293,-0.06378389894962311,-0.0,-0.0026647059712558985,-0.19841404259204865,-0.14018356800079346,-0.2230226993560791,-0.2549245357513428,-0.004218942951411009,-0.3738907277584076,-0.0
7,0,0.7623423337936401,0.2319398671388626,4.718113899230957,0.3428480625152588,0.20501410961151123,0.12487946450710297,1.2751586437225342,0.2707272171974182,0.594651460647583,0.5,-0.12661199271678925,-0.8405165672302246,-0.07372049987316132,-0.006535835564136505,-0.068569615483284,-0.0,-0.0018529028166085482,-0.19127380847930908,-0.12487946450710297,-0.20501410961151123,-0.4227065443992615,-0.003741505788639188,-0.4046550989151001,-0.0
8,0,0.7631475925445557,0.2902168035507202,4.593957424163818,0.2635994851589203,0.18588986992835999,0.12326474487781525,1.2015624046325684,0.3480277359485626,0.6462624073028564,0.5,-0.149759441614151,-0.9915231466293335,-0.08474798500537872,-0.0026996314991265535,-0.05271989479660988,-0.0,-0.001291547785513103,-0.18023435771465302,-0.12326474487781525,-0.18588986992835999,-0.6551006436347961,-0.00340803200379014,-0.41081127524375916,-0.0
9,0,0.7632659077644348,0.3559398353099823,4.558687686920166,0.2428666204214096,0.16553056240081787,0.155988872051239,1.1390496492385864,0.3856326937675476,0.5480025410652161,0.5,-0.16314436495304108,-1.1556533575057983,-0.08774624764919281,-0.0029144566506147385,-0.0485733225941658,-0.0,-0.0011315542506054044,-0.17085745930671692,-0.155988872051239,-0.16553056240081787,-0.971458375453949,-0.0033603464253246784,-0.42744752764701843,-0.0
10,0,0.7622637748718262,0.4324280917644501,4.629093170166016,0.3155519664287567,0.14234541356563568,0.1746211051940918,1.0920464992523193,0.41286805272102356,0.24936224520206451,0.5,-0.17930923402309418,-1.501156210899353,-0.0922829806804657,-0.002277415944263339,-0.06311039626598358,-0.0,-0.0012405447196215391,-0.1638069748878479,-0.1746210902929306,-0.14234541356563568,-1.4050019979476929,-0.003774872049689293,-0.44449883699417114,-0.0
11,0,0.7599644660949707,0.5194615125656128,4.813750267028809,0.4189028739929199,0.13481920957565308,0.18321552872657776,1.0573960542678833,0.41266506910324097,0.11858346313238144,0.5,-0.2031259536743164,-1.8546499013900757,-0.10695594549179077,-0.002699625911191106,-0.08378057926893234,-0.0,-0.0016391274984925985,-0.15860942006111145,-0.18321552872657776,-0.13481920957565308,-1.9714044332504272,-0.004817057866603136,-0.44190090894699097,-0.0
12,0,0.7563588619232178,0.6119673252105713,5.082556247711182,0.3798518180847168,0.12658372521400452,0.19254988431930542,1.119681477546692,0.3569765090942383,0.09807839244604111,0.5,-0.250712513923645,-1.9956841468811035,-0.1156955286860466,-0.0033953292295336723,-0.0759703665971756,-0.0,-0.002000744454562664,-0.16795222461223602,-0.19254988431930542,-0.12658372521400452,-2.6402077674865723,-0.0067068240605294704,-0.4284471869468689,-0.0
13,1,0.7514755725860596,0.7073737978935242,5.41623067855835,0.3816640377044678,0.1154879629611969,0.20225951075553894,1.2123866081237793,0.2743169069290161,0.08767372369766235,0.5,-0.33812037110328674,-2.0887351036071777,-0.11486951261758804,-0.0039911819621920586,-0.07633280754089355,-0.0,-0.002248021773993969,-0.18185800313949585,-0.20225951075553894,-0.1154879555106163,-3.3783345222473145,-0.009763696230947971,-0.41172894835472107,-0.0
14,1,0.7631966471672058,0.02197852171957493,5.686339378356934,0.29165253043174744,0.0504000149667263,0.025730272755026817,0.6011214256286621,0.16582264006137848,0.22513461112976074,0.0,-0.4863322377204895,-2.0350825786590576,-0.09735165536403656,-0.005151277408003807,-0.05833050236105919,-0.0,-0.002349276328459382,-0.19357024133205414,-0.21500638127326965,-0.10774403065443039,-4.137501239776611,-0.0144181028008461,-0.321039080619812,-0.0
15,1,0.7656421661376953,0.025573771446943283,2.339946746826172,15.76628589630127,0.04192069545388222,0.009881111793220043,0.38870012760162354,0.38841497898101807,0.16495771706104279,0.5,-0.03007696568965912,-0.0032190829515457153,-0.1384914219379425,-0.007726471871137619,-1.0950701236724854,-0.0,-0.0021875386592000723,-0.05830501765012741,-0.009881110861897469,-0.04192069545388222,-0.005231036804616451,-0.00247375899925828,-0.0042951456271111965,-0.0
16,1,0.7667097449302673,0.01642487943172455,2.6746208667755127,0.531899094581604,0.06877990067005157,0.027489082887768745,0.33507585525512695,0.45876172184944153,0.7209979295730591,0.5,-0.0022308093030005693,-0.08691465109586716,-0.06676812469959259,-0.009337512776255608,-0.10637982189655304,-0.0,-0.0018890866776928306,-0.05026137828826904,-0.027489082887768745,-0.06877990067005157,-0.002158289309591055,-0.0021195614244788885,-0.008646951988339424,-0.0
