step,fell_so_far,height,tilt_rad,action_norm,action_rate_raw,dev_legs_hip,dev_waist,dev_arms,rew_track_lin_vel_xy,rew_track_ang_vel_z,rew_alive,rew_base_linear_velocity,rew_base_angular_velocity,rew_joint_vel,rew_joint_acc,rew_action_rate,rew_dof_pos_limits,rew_energy,rew_joint_deviation_arms,rew_joint_deviation_waists,rew_joint_deviation_legs,rew_flat_orientation_l2,rew_base_height,rew_feet_slide,rew_undesired_contacts
0,0,0.7717152833938599,0.020403265953063965,1.5711323022842407,0.0,0.1821383833885193,0.036985404789447784,0.6623371839523315,0.0007353947730734944,0.35801076889038086,0.5,-0.03582918271422386,-0.39535313844680786,-0.3040331304073334,-0.013350235298275948,-0.4936913549900055,-0.0,-0.006818344350904226,-0.09935057908296585,-0.036985404789447784,-0.1821383833885193,-0.0033295138273388147,-0.0008236326975747943,-0.014744345098733902,-0.0
1,0,0.7664007544517517,0.05768929049372673,1.5579137802124023,1.417670488357544,0.10965150594711304,0.06875962018966675,0.6640524864196777,0.0003158841864205897,0.6972541809082031,0.5,-0.2588961720466614,-0.36447808146476746,-0.14232729375362396,-0.01928439922630787,-0.28353410959243774,-0.0,-0.005001385230571032,-0.09960786998271942,-0.06875962018966675,-0.10965149849653244,-0.026594597846269608,-0.0022192643955349922,-0.0018219437915831804,-0.0
2,0,0.7587187886238098,0.08249451220035553,2.0505237579345703,1.4687764644622803,0.0568930059671402,0.0655636340379715,0.7609952688217163,0.0003889471699949354,0.32682907581329346,0.5,-0.26921331882476807,-0.011155636049807072,-0.14328435063362122,-0.032468609511852264,-0.29375526309013367,-0.0,-0.005916930735111237,-0.1141492947936058,-0.0655636340379715,-0.0568930059671402,-0.054319676011800766,-0.005434664897620678,-0.10246193408966064,-0.0
3,0,0.7527909278869629,0.07249563187360764,2.8748281002044678,2.0711326599121094,0.07849030196666718,0.045178428292274475,0.8646820783615112,0.0018655626336112618,0.5135096311569214,0.5,-0.07857145369052887,-0.2411748468875885,-0.14480739831924438,-1.0171836614608765,-0.4142265319824219,-0.0,-0.0076050180941820145,-0.12970231473445892,-0.04517842456698418,-0.07849030196666718,-0.04197169095277786,-0.008883983828127384,-0.05011368170380592,-0.0
4,0,0.7505334615707397,0.04578932002186775,3.0018296241760254,0.628687858581543,0.1687115728855133,0.06300108134746552,0.9083194136619568,0.0067056929692626,0.6606709957122803,0.5,-0.0007620114483870566,-0.16944922506809235,-0.05629619210958481,-0.008953467011451721,-0.12573756277561188,-0.0,-0.00499845901504159,-0.136247918009758,-0.06300108134746552,-0.1687115579843521,-0.01676175743341446,-0.010419301688671112,-0.16265878081321716,-0.0
5,0,0.7506920695304871,0.03760780021548271,2.43369722366333,1.6632065773010254,0.1968543380498886,0.09353978931903839,0.9253836870193481,0.018710672855377197,0.4343984127044678,0.5,-0.01453972514718771,-0.07143156230449677,-0.046909403055906296,-0.00431350851431489,-0.3326413333415985,-0.0,-0.0025240983814001083,-0.13880756497383118,-0.09353978931903839,-0.19685432314872742,-0.011309158056974411,-0.010307436808943748,-0.312433123588562,-0.0
6,0,0.752314567565918,0.045458678156137466,2.415304183959961,2.3210830688476562,0.17485734820365906,0.09100236743688583,0.8990578651428223,0.04687223955988884,0.21539822220802307,0.5,-0.048979226499795914,-0.0519506111741066,-0.03708198666572571,-0.003156308550387621,-0.4642166197299957,-0.0,-0.0023769638501107693,-0.13485866785049438,-0.09100235998630524,-0.17485734820365906,-0.016520483419299126,-0.00919777899980545,-0.32823237776756287,-0.0
7,0,0.754630446434021,0.05952804908156395,2.981820583343506,1.628798007965088,0.14590099453926086,0.0755927562713623,0.9045004844665527,0.10110016167163849,0.47603878378868103,0.5,-0.06249745935201645,-0.06987672299146652,-0.026562174782156944,-0.0021939901635050774,-0.325759619474411,-0.0,-0.0019717353861778975,-0.1356750726699829,-0.0755927562713623,-0.14590099453926086,-0.028315486386418343,-0.007723353337496519,-0.2425212413072586,-0.0
8,0,0.7569353580474854,0.07754474133253098,3.558894157409668,0.7484839558601379,0.1379764825105667,0.05291261896491051,0.8907465934753418,0.18787716329097748,0.42827925086021423,0.5,-0.057792797684669495,-0.10063665360212326,-0.027793124318122864,-0.0016429561655968428,-0.14969679713249207,-0.0,-0.001808044034987688,-0.13361197710037231,-0.05291261896491051,-0.1379764825105667,-0.048008814454078674,-0.006383717060089111,-0.13422925770282745,-0.0
9,0,0.7589226961135864,0.0957908034324646,4.041559219360352,0.5474554300308228,0.1298399418592453,0.03439731150865555,0.8433821201324463,0.2385893315076828,0.6055363416671753,0.5,-0.049535125494003296,-0.09476543962955475,-0.02729499340057373,-0.010127034969627857,-0.10949108749628067,-0.0,-0.0014856145717203617,-0.12650731205940247,-0.03439731150865555,-0.1298399418592453,-0.07318286597728729,-0.005331017542630434,-0.03590606898069382,-0.0
10,0,0.76064133644104,0.11517329514026642,4.251425266265869,0.2243659794330597,0.11789828538894653,0.020342370495200157,0.7810011506080627,0.30421608686447144,0.6282325983047485,0.5,-0.0484190434217453,-0.12864336371421814,-0.021079936996102333,-0.0037875426933169365,-0.04487319663167,-0.0,-0.0012097946600988507,-0.11715018004179001,-0.020342370495200157,-0.11789827793836594,-0.10565076768398285,-0.00449708104133606,-0.0289462823420763,-0.0
11,0,0.7618550658226013,0.1408422291278839,4.32260274887085,0.20021399855613708,0.10815103352069855,0.019925013184547424,0.6989892721176147,0.4606824517250061,0.6538774967193604,0.5,-0.03609580919146538,-0.22968344390392303,-0.019787849858403206,-0.0009662187076173723,-0.04004279896616936,-0.0,-0.0009785514557734132,-0.10484838485717773,-0.019925011321902275,-0.10815103352069855,-0.15764521062374115,-0.003950851038098335,-0.023964347317814827,-0.0
12,0,0.7622895240783691,0.17720390856266022,4.26668643951416,0.23623207211494446,0.10342077165842056,0.025855690240859985,0.6414444446563721,0.723827600479126,0.7261060476303101,0.5,-0.022992286831140518,-0.4029460847377777,-0.024582721292972565,-0.001495353993959725,-0.04724641144275665,-0.0,-0.0008251325925812125,-0.09621667116880417,-0.025855688378214836,-0.10342076420783997,-0.24859130382537842,-0.0037639194633811712,-0.023414643481373787,-0.0
13,0,0.7619936466217041,0.21943317353725433,4.114465713500977,0.20557793974876404,0.10359512269496918,0.034329257905483246,0.6151740550994873,0.9330494403839111,0.6981258392333984,0.5,-0.015467002056539059,-0.48509901762008667,-0.02670586109161377,-0.0013494229642674327,-0.04111558943986893,-0.0,-0.0006259176298044622,-0.09227611124515533,-0.034329257905483246,-0.10359512269496918,-0.3790642023086548,-0.003890732768923044,-0.023140566423535347,-0.0
14,0,0.7609332799911499,0.2690729796886444,3.975890636444092,0.24856878817081451,0.10063968598842621,0.04069507122039795,0.6334247589111328,1.1343563795089722,0.6668692231178284,0.5,-0.00870381761342287,-0.6705788969993591,-0.03551970422267914,-0.0013247922761365771,-0.049713753163814545,-0.0,-0.0007667919853702188,-0.09501371532678604,-0.04069507122039795,-0.10063968598842621,-0.5653584599494934,-0.004362464416772127,-0.020521041005849838,-0.0
15,0,0.7589012980461121,0.33353710174560547,3.9839513301849365,0.5712048411369324,0.09416523575782776,0.03677727282047272,0.68064945936203,1.3552004098892212,0.7158941626548767,0.5,-0.0022112077567726374,-1.130379557609558,-0.06201568618416786,-0.0020748095121234655,-0.11424095928668976,-0.0,-0.0013415248831734061,-0.10209742188453674,-0.03677726909518242,-0.09416523575782776,-0.8574594855308533,-0.005341848358511925,-0.019185252487659454,-0.0
16,0,0.7558292746543884,0.41092610359191895,4.162813186645508,0.4979754686355591,0.08713415265083313,0.03149682283401489,0.7440094351768494,1.4703786373138428,0.7484394311904907,0.5,-3.837628537439741e-05,-1.493313193321228,-0.0867038443684578,-0.0034114650916308165,-0.0995950922369957,-0.0,-0.0016939706401899457,-0.11160141974687576,-0.03149682283401489,-0.08713415265083313,-1.2765367031097412,-0.0070106713101267815,-0.02010391093790531,-0.0
17,0,0.7516064643859863,0.4974808692932129,4.492236614227295,0.47428417205810547,0.08163047581911087,0.025675257667899132,0.8243658542633057,1.4972283840179443,0.6719709634780884,0.5,-0.004338961094617844,-1.7950859069824219,-0.1037483885884285,-0.004308134317398071,-0.09485683590173721,-0.0,-0.0012618920300155878,-0.12365487962961197,-0.025675255805253983,-0.08163047581911087,-1.8218597173690796,-0.009674294851720333,-0.013359542936086655,-0.0
18,0,0.7461493611335754,0.5878934264183044,4.854362964630127,0.3749586343765259,0.07539383322000504,0.025593671947717667,0.8896654844284058,1.4967588186264038,0.7063742280006409,0.5,-0.014699677936732769,-1.8560532331466675,-0.11227801442146301,-0.004598619416356087,-0.07499172538518906,-0.0,-0.0012448378838598728,-0.13344982266426086,-0.025593671947717667,-0.07539383322000504,-2.460731267929077,-0.013750365003943443,-0.016657285392284393,-0.0
19,0,0.7394218444824219,0.6772057414054871,5.193840503692627,0.26045775413513184,0.07415349781513214,0.03973369300365448,0.9609562158584595,1.4978196620941162,0.7457043528556824,0.5,-0.021904101595282555,-1.7603589296340942,-0.10494918376207352,-0.0048210048116743565,-0.05209155008196831,-0.0,-0.0015332254115492105,-0.14414343237876892,-0.03973369300365448,-0.07415349781513214,-3.1411986351013184,-0.019759012386202812,-0.009478716179728508,-0.0
20,1,0.7313160300254822,0.7653474807739258,5.523097515106201,0.2523544430732727,0.07678047567605972,0.061080727726221085,1.030264139175415,1.4673190116882324,0.6817421913146973,0.5,-0.018605101853609085,-1.730889081954956,-0.09402484446763992,-0.004766883794218302,-0.05047088488936424,-0.0,-0.0021892026998102665,-0.15453962981700897,-0.061080727726221085,-0.07678047567605972,-3.839637041091919,-0.02844151109457016,-0.06431058794260025,-0.0
21,1,0.7179419994354248,0.2533004879951477,5.895744323730469,0.2550261318683624,0.2887170612812042,0.14750456809997559,1.1364209651947021,1.3966944217681885,0.7314472198486328,0.0,-0.007921034470200539,-1.814645528793335,-0.08890969306230545,-0.004073719028383493,-0.051005225628614426,-0.0,-0.0026090622413903475,-0.1622454673051834,-0.07906092703342438,-0.08299572765827179,-4.551344871520996,-0.04059086740016937,-0.015294094569981098,-0.0
22,1,0.7168645262718201,0.2685563564300537,2.875601053237915,22.39931869506836,0.2469567358493805,0.16656866669654846,0.7974053621292114,0.23660345375537872,0.1949063539505005,0.5,-0.033411819487810135,-0.15996812283992767,-0.32668277621269226,-0.01833963207900524,-1.6538162231445312,-0.0,-0.005720901768654585,-0.11961080878973007,-0.16656866669654846,-0.2469567358493805,-0.5632412433624268,-0.04783301055431366,-0.005088622681796551,-0.0
23,1,0.7174088954925537,0.2732383608818054,3.782059907913208,2.6540303230285645,0.18266457319259644,0.17989259958267212,0.592503547668457,0.384321004152298,0.11153806746006012,0.5,-0.03268042206764221,-0.0027404972352087498,-0.0736575722694397,-0.024644166231155396,-0.5308060646057129,-0.0,-0.003444946836680174,-0.08887553215026855,-0.17989259958267212,-0.18266457319259644,-0.5825569033622742,-0.047011714428663254,-0.004592944402247667,-0.0
24,1,0.7185632586479187,0.27919474244117737,4.1241326332092285,0.634261965751648,0.1465112566947937,0.2053598165512085,0.6056954264640808,0.5505154132843018,0.6501439213752747,0.5,-0.07133990526199341,-0.03193437680602074,-0.04540625214576721,-0.005534918513149023,-0.1268523931503296,-0.0,-0.0024827904999256134,-0.09085430949926376,-0.2053598165512085,-0.1465112566947937,-0.6075621843338013,-0.04529363662004471,-0.010096163488924503,-0.0
25,1,0.7212872505187988,0.2840644121170044,4.316335678100586,0.46947795152664185,0.1412562131881714,0.22885490953922272,0.6367909908294678,0.5979304313659668,0.7422224879264832,0.5,-0.15202265977859497,-0.012207425199449062,-0.058292731642723083,-0.0017306574154645205,-0.09389558434486389,-0.0,-0.00425630621612072,-0.09551865607500076,-0.22885489463806152,-0.1412562131881714,-0.6283630132675171,-0.041366200894117355,-0.009034413844347,-0.0
26,1,0.7258710861206055,0.28396549820899963,4.36111307144165,0.28116536140441895,0.16941973567008972,0.24742752313613892,0.6814701557159424,0.5461496114730835,0.7310826778411865,0.5,-0.2645726501941681,-0.004595866426825523,-0.07095098495483398,-0.0023285928182303905,-0.05623307079076767,-0.0,-0.006331169977784157,-0.10222052037715912,-0.24742752313613892,-0.16941973567008972,-0.6279373168945312,-0.03515923395752907,-0.009234593249857426,-0.0
27,1,0.7321507334709167,0.2825981378555298,4.166064739227295,0.30291998386383057,0.18864282965660095,0.25692370533943176,0.8105640411376953,0.45155179500579834,0.6674322485923767,0.5,-0.39264702796936035,-0.0042474339716136456,-0.08151543140411377,-0.002945131389424205,-0.060583993792533875,-0.0,-0.007113986648619175,-0.12158460170030594,-0.25692370533943176,-0.18864281475543976,-0.6220661997795105,-0.027474595233798027,-0.00833526998758316,-0.0
28,1,0.7393621802330017,0.2791573107242584,4.270460605621338,0.41832247376441956,0.21428081393241882,0.2660830616950989,0.9225383400917053,0.33479344844818115,0.5450716018676758,0.5,-0.4612579047679901,-0.009741284884512424,-0.1005934402346611,-0.0033151526004076004,-0.08366449922323227,-0.0,-0.007113497704267502,-0.1383807510137558,-0.2660830616950989,-0.21428081393241882,-0.607403576374054,-0.019817160442471504,-0.007932587526738644,-0.0
29,1,0.7472490072250366,0.2746099829673767,4.356570720672607,0.44701164960861206,0.251901239156723,0.27345502376556396,1.041142225265503,0.21820810437202454,0.31193381547927856,0.5,-0.504105269908905,-0.0077124773524701595,-0.20564484596252441,-0.018842540681362152,-0.08940232545137405,-0.0,-0.008730949833989143,-0.15617132186889648,-0.27345502376556396,-0.251901239156723,-0.588271975517273,-0.012871506623923779,-0.037957459688186646,-0.0
30,1,0.7546843886375427,0.26840153336524963,4.370670795440674,0.28312161564826965,0.3016367554664612,0.27464988827705383,1.1663568019866943,0.13307718932628632,0.33084380626678467,0.5,-0.48409509658813477,-0.019039858132600784,-0.13933518528938293,-0.004788339138031006,-0.05662431940436363,-0.0,-0.0072048138827085495,-0.17495352029800415,-0.27464988827705383,-0.3016367554664612,-0.5626081228256226,-0.007690545171499252,-0.008229974657297134,-0.0
