condition,n,fall_rate,success_rate,mean_peak_jerk,std_peak_jerk
aap,100,0.0000,1.0000,2.6612,0.7453
always_l2,100,0.0000,1.0000,0.6727,0.1732
hard_switch,100,0.0000,1.0000,2.6785,0.7434
