condition,n,fall_rate,success_rate,mean_peak_jerk,std_peak_jerk
aap,100,0.0900,0.9100,2.1246,0.6362
always_l2,100,0.0000,1.0000,0.6840,0.1637
hard_switch,100,0.0600,0.9400,2.3080,0.6919
